"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dosage in Murine Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dosage in Human Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[B3 Vitamin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Brenner Group Mouse 122"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 122_liver 8_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"13C1 D1-nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 123"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 123_liver 8"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"13C1 D1-nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 123"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 123_liver 8_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"13C1 D1-nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13_liver 4"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13_liver 4_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14_liver 4"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14_liver 4_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 15_liver 4"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 15_liver 4_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 16_liver 6"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 16_liver 6_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 17_liver 6"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 17_liver 6_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 18_liver 6"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 18_liver 6_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 19_liver 8"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 19_liver 8_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 2_liver 0_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 2_liver 0"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 20_liver 8_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 20_liver 8"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 21_liver 8_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 21_liver 8"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 22_liver 12_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 22_liver 12"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 23_liver 12_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 23_liver 12"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 24_liver 12_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 24_liver 12"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 25_liver 0_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 25_liver 0"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 26_liver 0_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 26_liver 0"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 27_liver 0_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 27_liver 0"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 28_liver 0.25_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 28_liver 0.25"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 29_liver 0.25_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 29_liver 0.25"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 3_liver 0_NADrerun"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 3_liver 0"	"185"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 30_liver 0.25_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 30_liver 0.25"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 31_liver 1_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 31_liver 1"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 32_liver 1_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 32_liver 1"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 33_liver 1_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 33_liver 1"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 34_liver 1_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 34_liver 1"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 35_liver 2_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 35_liver 2"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 36_liver 2_NADrerun"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Brenner Group Mouse 36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 36_liver 2"	"78"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
