"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[drug treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[cell type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"HEK_24h_d_98"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_98"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_96"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_96"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_94"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_94"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_97"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_97"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_93"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_93"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_92"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_92"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_95"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_95"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_24h_d_91"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_24h_d_91"	"drug"	""	""	"HEK-293"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_81"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_81"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_86"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_86"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_83"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_83"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_85"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_85"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_84"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_84"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_87"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_87"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_82"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_82"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_c_88"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_c_88"	"control"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_106"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_106"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_107"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_107"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_104"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_104"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_102"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_102"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_103"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_103"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_108"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_108"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_105"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_105"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_101"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_101"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_100"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_100"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"HEK_72h_d_99"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HEK-293 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000007"	"Sample collection"	"HEK_72h_d_99"	"drug"	""	""	"HEK-293"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
