"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[metabolomics/lipidomics]"	"Term Source REF"	"Term Accession Number"
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_13_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_13_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_14_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_14_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_15_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_15_2_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_11_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_16_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_16_2_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_17_1_NEG"	"metabolomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_17_2_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_18_1_NEG"	"metabolomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_18_2_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_12_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_13_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150615_Yeast_QC_14_NEG"	"metabolomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_006"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_007"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_008"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_009"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_010"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_11_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_11_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_10_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_10_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_12_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_12_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_09_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_09_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_17_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_17_002"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_011"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_04_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_04_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_03_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_03_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_02_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_02_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_13_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_13_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_07_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_07_002"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_012"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_18_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_18_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_08_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_08_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_06_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_06_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_05_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_05_002"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_16_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_16_002"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_013"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_15_001"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_15_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_14_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_14_002"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_01_001"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_01_002"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_014"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_015"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_016"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_06_neg"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_07_neg"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_08_neg"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_09_neg"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_10_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_11_001_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_11_002_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_10_001_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_10_002_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_12_001_neg"	"lipidomics"	""	""
"BY4741"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"BY4741"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000098"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_12_002_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_09_001_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_09_002_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_17_001_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_17_002_neg"	"lipidomics"	""	""
"NA"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	""	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_QC_11_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_04_001_neg"	"lipidomics"	""	""
"SynIIv1.2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae str. YS031"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20150526_Yeast_lipidomic_04_002_neg"	"lipidomics"	""	""
