"Sample Name"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"2137920"	"40"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137920_p1"	"KIT2-0-5504_1020804070_40_0_1_1_00_1020803788.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2119306"	"42"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119306_p1"	"KIT2-0-5504_1020804070_42_0_1_1_00_1020803735.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"44"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_44"	"KIT2-0-5504_1020804070_44_0_1_1_00_1020803633.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal1"	"49"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal1_p1"	"KIT2-0-5504_1020804070_49_0_1_1_02_20000611.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"50"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_50"	"KIT2-0-5504_1020804070_50_0_1_1_04_721046.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2144077"	"56"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2144077_p1"	"KIT2-0-5504_1020804070_56_0_1_1_00_1020803822.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal2"	"61"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal2_p1"	"KIT2-0-5504_1020804070_61_0_1_1_13_20000612.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC3"	"62"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC3_p1"	"KIT2-0-5504_1020804070_62_0_1_1_05_721050.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2119303"	"64"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2119303_p1"	"KIT2-0-5504_1020804070_64_0_1_1_00_1020803716.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2139058"	"70"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2139058_p1"	"KIT2-0-5504_1020804070_70_0_1_1_00_1020803769.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal3"	"73"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal3_p1"	"KIT2-0-5504_1020804070_73_0_1_1_14_20000613.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2195439"	"75"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195439_p1"	"KIT2-0-5504_1020804070_75_0_1_1_00_1020803861.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC2"	"83"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p1_83"	"KIT2-0-5504_1020804070_83_0_1_1_00_1020803648.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal4"	"85"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal4_p1"	"KIT2-0-5504_1020804070_85_0_1_1_15_20000614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"E03_RWR_T01_030614"	"87"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"E03_RWR_T01_030614_p1"	"KIT2-0-5504_1020804070_87_0_1_1_00_1020803701.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2151730"	"89"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2151730_p1"	"KIT2-0-5504_1020804070_89_0_1_1_00_1020803803.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2137921"	"93"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2137921_p1"	"KIT2-0-5504_1020804070_93_0_1_1_00_1020803773.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2148974"	"95"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2148974_p1"	"KIT2-0-5504_1020804070_95_0_1_1_00_1020803792.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
