"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Previous Malaria Infection]"	"Term Source REF"	"Term Accession Number"
"2588862"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_082"	"VT_150411_082.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"82"	""	""	"Naive"	""	""
"2588862"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_084"	"VT_150411_084.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"84"	""	""	"Naive"	""	""
"2588889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_086"	"VT_150411_086.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"86"	""	""	"Semi-immune"	""	""
"2588889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_088"	"VT_150411_088.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"88"	""	""	"Semi-immune"	""	""
"2588889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_090"	"VT_150411_090.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"90"	""	""	"Semi-immune"	""	""
"2588886"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_092"	"VT_150411_092.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"92"	""	""	"Semi-immune"	""	""
"2588886"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_094"	"VT_150411_094.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"94"	""	""	"Semi-immune"	""	""
"2588886"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_096"	"VT_150411_096.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"96"	""	""	"Semi-immune"	""	""
"2588890"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_098"	"VT_150411_098.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"98"	""	""	"Semi-immune"	""	""
"2588890"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_100"	"VT_150411_100.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"100"	""	""	"Semi-immune"	""	""
"2588890"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_102"	"VT_150411_102.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"102"	""	""	"Semi-immune"	""	""
"2588893"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_104"	"VT_150411_104.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"104"	""	""	"Semi-immune"	""	""
"2588893"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_106"	"VT_150411_106.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"106"	""	""	"Semi-immune"	""	""
"2588893"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_108"	"VT_150411_108.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"108"	""	""	"Semi-immune"	""	""
"2588865"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_110"	"VT_150411_110.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"110"	""	""	"Naive"	""	""
"2588865"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_112"	"VT_150411_112.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"112"	""	""	"Naive"	""	""
"2588865"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_114"	"VT_150411_114.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"3 weeks"	""	""	"1"	""	""	"114"	""	""	"Naive"	""	""
"2588860"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_116"	"VT_150411_116.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"116"	""	""	"Naive"	""	""
"2588860"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_118"	"VT_150411_118.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"118"	""	""	"Naive"	""	""
"2588860"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_120"	"VT_150411_120.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"120"	""	""	"Naive"	""	""
"2588887"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_122"	"VT_150411_122.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"122"	""	""	"Semi-immune"	""	""
"2588887"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_124"	"VT_150411_124.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"124"	""	""	"Semi-immune"	""	""
"2588887"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_126"	"VT_150411_126.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"126"	""	""	"Semi-immune"	""	""
"2588891"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_128"	"VT_150411_128.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"128"	""	""	"Semi-immune"	""	""
"2588891"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_130"	"VT_150411_130.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"130"	""	""	"Semi-immune"	""	""
"2588891"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_132"	"VT_150411_132.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Baseline"	""	""	"1"	""	""	"132"	""	""	"Semi-immune"	""	""
"2588884"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_134"	"VT_150411_134.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"134"	""	""	"Semi-immune"	""	""
"2588884"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_136"	"VT_150411_136.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"136"	""	""	"Semi-immune"	""	""
"2588884"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_138"	"VT_150411_138.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"138"	""	""	"Semi-immune"	""	""
"2588874"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_140"	"VT_150411_140.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"140"	""	""	"Semi-immune"	""	""
"2588874"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_142"	"VT_150411_142.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"142"	""	""	"Semi-immune"	""	""
"2588874"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_144"	"VT_150411_144.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"144"	""	""	"Semi-immune"	""	""
"2588880"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_146"	"VT_150411_146.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"146"	""	""	"Semi-immune"	""	""
"2588880"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_148"	"VT_150411_148.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"148"	""	""	"Semi-immune"	""	""
"2588880"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_150"	"VT_150411_150.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"150"	""	""	"Semi-immune"	""	""
"2588792"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_152"	"VT_150411_152.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"152"	""	""	"Semi-immune"	""	""
"2588792"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_154"	"VT_150411_154.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"154"	""	""	"Semi-immune"	""	""
"2588792"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_156"	"VT_150411_156.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"156"	""	""	"Semi-immune"	""	""
"2588794"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_158"	"VT_150411_158.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"158"	""	""	"Semi-immune"	""	""
"2588794"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_160"	"VT_150411_160.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"160"	""	""	"Semi-immune"	""	""
"2588794"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_162"	"VT_150411_162.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"4 months"	""	""	"1"	""	""	"162"	""	""	"Semi-immune"	""	""
"2588864"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_164"	"VT_150411_164.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_c18neg.tsv"	"Diagnosis"	""	""	"1"	""	""	"164"	""	""	"Naive"	""	""
