"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D05"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D06"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D07"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D08"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D09"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-D10"	"E-NP-D nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT01"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT02"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT03"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT04"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT05"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT06"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT07"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT08"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT09"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DT10"	"E-NP-DT nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS01"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS02"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS03"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS04"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS05"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS06"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS07"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS08"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS09"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"24-DTS10"	"E-NP-DTS nanoparticle"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS01"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS02"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS03"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS04"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS05"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS06"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS07"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS08"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS09"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-PBS10"	"control"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP01"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP02"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP03"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP04"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP05"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP06"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP07"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP08"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP09"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-NP10"	"methoxypoly(ethylene glycol)-poly(lactide-co-glycolide)-ε-polylysine"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D01"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D02"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D03"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D04"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D05"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D06"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D07"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D08"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D09"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-D10"	"E-NP-D nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT01"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT02"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT03"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT04"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT05"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT06"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT07"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT08"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT09"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DT10"	"E-NP-DT nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS01"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS02"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS03"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS04"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS05"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS06"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS07"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS08"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS09"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"36-DTS10"	"E-NP-DTS nanoparticle"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
