"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"
"2425877"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_040"	"VT_150913_040.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"424"	""	""
"2425877"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_042"	"VT_150913_042.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"425"	""	""
"2418889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_044"	"VT_150913_044.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"426"	""	""
"2418889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_046"	"VT_150913_046.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"427"	""	""
"2418889"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_048"	"VT_150913_048.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"428"	""	""
"2414237"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_050"	"VT_150913_050.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"429"	""	""
"2414237"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_052"	"VT_150913_052.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"430"	""	""
"2414237"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_054"	"VT_150913_054.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"431"	""	""
"2402432"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_056"	"VT_150913_056.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"432"	""	""
"2402432"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_058"	"VT_150913_058.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"433"	""	""
"2402432"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_060"	"VT_150913_060.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"434"	""	""
"2441856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_062"	"VT_150913_062.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"435"	""	""
"2441856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_064"	"VT_150913_064.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"436"	""	""
"2441856"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_066"	"VT_150913_066.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"437"	""	""
"2426520"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_068"	"VT_150913_068.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"438"	""	""
"2426520"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_070"	"VT_150913_070.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"439"	""	""
"2426520"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_072"	"VT_150913_072.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"440"	""	""
"2420192"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_074"	"VT_150913_074.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"441"	""	""
"2420192"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_076"	"VT_150913_076.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"442"	""	""
"2420192"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_078"	"VT_150913_078.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"443"	""	""
"2404801"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_080"	"VT_150913_080.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"444"	""	""
"2404801"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_082"	"VT_150913_082.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"445"	""	""
"2404801"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_084"	"VT_150913_084.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"446"	""	""
"2403190"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_086"	"VT_150913_086.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"447"	""	""
"2403190"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_088"	"VT_150913_088.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"448"	""	""
"2403190"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_090"	"VT_150913_090.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"449"	""	""
"2460789"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_092"	"VT_150913_092.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"450"	""	""
"2460789"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_094"	"VT_150913_094.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"451"	""	""
"2460789"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_096"	"VT_150913_096.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"452"	""	""
"2444976"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_098"	"VT_150913_098.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"453"	""	""
"2444976"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_100"	"VT_150913_100.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"454"	""	""
"2444976"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_102"	"VT_150913_102.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"455"	""	""
"2429248"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_104"	"VT_150913_104.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"456"	""	""
"2429248"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_106"	"VT_150913_106.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"457"	""	""
"2429248"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_108"	"VT_150913_108.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"458"	""	""
"2421210"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_110"	"VT_150913_110.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"459"	""	""
"2421210"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_112"	"VT_150913_112.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"460"	""	""
"2421210"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_114"	"VT_150913_114.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"461"	""	""
"2406574"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_116"	"VT_150913_116.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"462"	""	""
"2406574"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_118"	"VT_150913_118.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"463"	""	""
"2406574"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_120"	"VT_150913_120.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"Daily Meta"	""	""	"4"	""	""	"464"	""	""
"2352568"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_122"	"VT_150913_122.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"TimePoint 1"	""	""	"4"	""	""	"465"	""	""
"2352568"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_124"	"VT_150913_124.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"TimePoint 1"	""	""	"4"	""	""	"466"	""	""
"2352568"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_126"	"VT_150913_126.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"TimePoint 1"	""	""	"4"	""	""	"467"	""	""
"2473541"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_128"	"VT_150913_128.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"TimePoint 5"	""	""	"4"	""	""	"468"	""	""
"2473541"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 50 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific High Field Q Exactive"	""	""	"MS:electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_150913_130"	"VT_150913_130.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e23_c18neg.tsv"	"TimePoint 5"	""	""	"4"	""	""	"469"	""	""
