"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"KA3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA3_5m"	"KA3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT1_5m"	"LT1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT2_5m"	"LT2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT3_5m"	"LT3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP1_5m"	"MP1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP2_5m"	"MP2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP3_5m"	"MP3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK1_5m"	"PK1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK2_5m"	"PK2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK3_5m"	"PK3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC1_5m"	"SC1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC2_5m"	"SC2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC3_5m"	"SC3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD1_5m"	"TD1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD2_5m"	"TD2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD3_5m"	"TD3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_5m"	"QC1_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_5m"	"QC2_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC3_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC3_5m"	"QC3_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC4_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC4_5m"	"QC4_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC5_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC5_5m"	"QC5_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC6_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC6_5m"	"QC6_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC7_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC7_5m"	"QC7_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC8_5m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC8_5m"	"QC8_5m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ1_30m"	"CZ1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ2_30m"	"CZ2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ3_30m"	"CZ3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA1_30m"	"KA1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA2_30m"	"KA2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA3_30m"	"KA3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT1_30m"	"LT1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT2_30m"	"LT2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT3_30m"	"LT3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP1_30m"	"MP1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
