"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_systematicName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_commonName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[analysis_time]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sample_type]"	"Term Source REF"	"Term Accession Number"
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_G_3"	"2"	""	""	"YLL009C"	""	""	"COX17"	""	""	"1373625217"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_D_4"	"2"	""	""	"YJL160C"	""	""	"PIR5"	""	""	"1373625449"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_A_6"	"2"	""	""	"YAL062W"	""	""	"GDH3"	""	""	"1373625683"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_A_11"	"2"	""	""	"YAL056W"	""	""	"GPB2"	""	""	"1373625915"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"02_BLANK_09"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373626146"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_029"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373626378"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_C_11"	"2"	""	""	"YAL022C"	""	""	"FUN26"	""	""	"1373626611"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_D_6"	"2"	""	""	"YAL014C"	""	""	"SYN8"	""	""	"1373626844"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_A_6"	"2"	""	""	"YOR093C"	""	""	"NA"	""	""	"1373627308"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_C_9"	"2"	""	""	"YDR156W"	""	""	"RPA14"	""	""	"1373627539"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_C_2"	"2"	""	""	"YGR110W"	""	""	"CLD1"	""	""	"1373627771"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_C_7"	"2"	""	""	"YDR154C"	""	""	"NA"	""	""	"1373628234"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_A_4"	"2"	""	""	"YOR091W"	""	""	"TMA46"	""	""	"1373628468"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_G_10"	"2"	""	""	"YDR227W"	""	""	"SIR4"	""	""	"1373628699"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_C_4"	"2"	""	""	"YOR312C"	""	""	"RPL20B"	""	""	"1373628931"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_E_12"	"2"	""	""	"YDR198C"	""	""	"RKM2"	""	""	"1373629163"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD6_05"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373629395"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD4_05"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373629629"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD2_05"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373629860"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_E_1"	"2"	""	""	"YJL191W"	""	""	"RPS14B"	""	""	"1373630090"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_G_1"	"2"	""	""	"YKR041W"	""	""	"NA"	""	""	"1373630323"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_B_2"	"2"	""	""	"YOR295W"	""	""	"UAF30"	""	""	"1373630553"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_G_2"	"2"	""	""	"YOR380W"	""	""	"RDR1"	""	""	"1373630784"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_E_8"	"2"	""	""	"YDR193W"	""	""	"NA"	""	""	"1373631016"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_E_4"	"2"	""	""	"YDR185C"	""	""	"UPS3"	""	""	"1373631247"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_F_3"	"2"	""	""	"YOR360C"	""	""	"PDE2"	""	""	"1373631479"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_E_11"	"2"	""	""	"YAR027W"	""	""	"UIP3"	""	""	"1373631712"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_F_1"	"2"	""	""	"YOR358W"	""	""	"HAP5"	""	""	"1373631944"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_F_2"	"2"	""	""	"YAR031W"	""	""	"PRM9"	""	""	"1373632176"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_E_3"	"2"	""	""	"YOR347C"	""	""	"PYK2"	""	""	"1373632407"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_H_1"	"2"	""	""	"YDR231C"	""	""	"COX20"	""	""	"1373632638"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"02_BLANK_10"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373632869"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_030"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373633101"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_H_10"	"2"	""	""	"YGL196W"	""	""	"DSD1"	""	""	"1373633333"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_A_12"	"2"	""	""	"YOR292C"	""	""	"NA"	""	""	"1373633564"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_E_2"	"2"	""	""	"YJL196C"	""	""	"ELO1"	""	""	"1373633796"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_C_3"	"2"	""	""	"YGR117C"	""	""	"NA"	""	""	"1373634027"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_E_7"	"2"	""	""	"YKL115C"	""	""	"NA"	""	""	"1373634259"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_D_5"	"2"	""	""	"YDR169C"	""	""	"STB3"	""	""	"1373634493"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_B_6"	"2"	""	""	"YLR315W"	""	""	"NKP2"	""	""	"1373634725"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_B_12"	"2"	""	""	"YOR305W"	""	""	"RRG7"	""	""	"1373635188"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_G_4"	"2"	""	""	"YML035C"	""	""	"AMD1"	""	""	"1373635420"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_G_10"	"2"	""	""	"YOL002C"	""	""	"IZH2"	""	""	"1373635652"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_A_8"	"2"	""	""	"YLR303W"	""	""	"MET17"	""	""	"1373635885"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD5_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373636117"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD3_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373636349"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD1_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373636581"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_D_2"	"2"	""	""	"YOR324C"	""	""	"FRT1"	""	""	"1373636812"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_C_4"	"2"	""	""	"YGR238C"	""	""	"KEL2"	""	""	"1373637044"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_F_8"	"2"	""	""	"YDR210W"	""	""	"NA"	""	""	"1373637276"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_C_3"	"2"	""	""	"YOR311C"	""	""	"DGK1"	""	""	"1373637509"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_H_11"	"2"	""	""	"YBR288C"	""	""	"APM3"	""	""	"1373637972"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_C_5"	"2"	""	""	"YOR313C"	""	""	"SPS4"	""	""	"1373638204"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_H_1"	"2"	""	""	"YOL006C"	""	""	"TOP1"	""	""	"1373638435"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_G_7"	"2"	""	""	"YOR385W"	""	""	"NA"	""	""	"1373638667"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_B_11"	"2"	""	""	"YGR092W"	""	""	"DBF2"	""	""	"1373638899"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_D_3"	"2"	""	""	"YDR163W"	""	""	"CWC15"	""	""	"1373639130"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_F_6"	"2"	""	""	"YKR027W"	""	""	"BCH2"	""	""	"1373639362"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"02_BLANK_11"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373639593"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_031"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373639825"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_F_5"	"2"	""	""	"YOR365C"	""	""	"NA"	""	""	"1373640056"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_A_1"	"2"	""	""	"YOR087W"	""	""	"YVC1"	""	""	"1373640290"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_F_4"	"2"	""	""	"YOR363C"	""	""	"PIP2"	""	""	"1373640520"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_D_4"	"2"	""	""	"YAL017W"	""	""	"PSK1"	""	""	"1373640753"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_A_4"	"2"	""	""	"YCR102W-A"	""	""	"NA"	""	""	"1373640985"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"07_B_9"	"2"	""	""	"YOR303W"	""	""	"CPA1"	""	""	"1373641217"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_G_5"	"2"	""	""	"YDR221W"	""	""	"GTB1"	""	""	"1373641448"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_C_6"	"2"	""	""	"YAL029C"	""	""	"MYO4"	""	""	"1373641680"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_C_5"	"2"	""	""	"YDR152W"	""	""	"GIR2"	""	""	"1373641912"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"01_A_9"	"2"	""	""	"YAL059W"	""	""	"ECM1"	""	""	"1373642377"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD6_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373642841"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD4_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373643073"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"02_STD2_06"	"2"	""	""	"NA"	""	""	"NA"	""	""	"1373643304"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"23_D_1"	"2"	""	""	"YDR161W"	""	""	"ACL4"	""	""	"1373643535"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_E_5"	"2"	""	""	"YJL213W"	""	""	"NA"	""	""	"1373643766"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_G_5"	"2"	""	""	"YAR002C-A"	""	""	"ERP1"	""	""	"1373643998"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"44_C_5"	"2"	""	""	"YGR239C"	""	""	"PEX21"	""	""	"1373644230"	""	""	"Sample"	""	""
