"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"OCSC 0.25hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.25hr B_1"	"OCSC 0.25hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 0.25hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.25hr C_1"	"OCSC 0.25hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 0.50hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.50hr A_1"	"OCSC 0.50hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 0.50hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.50hr B_1"	"OCSC 0.50hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 0.50hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 0.50hr C_1"	"OCSC 0.50hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 08hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 08hr A_1"	"OCSC 08hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 08hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 08hr B_1"	"OCSC 08hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 08hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 08hr C_1"	"OCSC 08hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 24hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 24hr B_1"	"OCSC 24hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 24hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 24hr C_1"	"OCSC 24hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 48hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 48hr A_1"	"OCSC 48hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 48hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 48hr B_1"	"OCSC 48hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC 48hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC 48hr C_1"	"OCSC 48hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC Initial B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC Initial B_1"	"OCSC Initial B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC Initial C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC Initial C_1"	"OCSC Initial C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSC Initial F"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSC Initial F_1"	"OCSC Initial F_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 24hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 24hr A_1"	"OCSCmedia 24hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 24hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 24hr B_1"	"OCSCmedia 24hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 24hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 24hr C_2"	"OCSCmedia 24hr C_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 48hr A"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 48hr A_1"	"OCSCmedia 48hr A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 48hr B"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 48hr B_1"	"OCSCmedia 48hr B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"OCSCmedia 48hr C"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"OCSCmedia 48hr C_1"	"OCSCmedia 48hr C_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-15_1"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-15_1"	"QC 1-15_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-15_2"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-15_2"	"QC 1-15_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-15_3"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-15_3"	"QC 1-15_3.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-16 A_1"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-16 A_1"	"QC 1-16 A_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-16 A_2"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-16 A_2"	"QC 1-16 A_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-16 A_3"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-16 A_3"	"QC 1-16 A_3.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-16 B_1"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-16 B_1"	"QC 1-16 B_1.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC 1-16 B_2"	"Extraction"	"cold 80/20 methanol:water"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"QC 1-16 B_2"	"QC 1-16 B_2.csv"	"Data transformation"	""	"OCCvsOCSC&OCCinOCSCmediaIntraNorm.csv"	"Metabolite identification"	""	"m_baselineocc&ocsc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
