"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Thermal Desorption unit]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Ec_NB_16"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_16"	"EC_NB_15H_293801_1 (2).CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_17"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_17"	"EC_NB_15H_293802_1 (2).CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_NB_18"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_NB_18"	"EC_NB_15H_293803_1 (2).CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_1"	"KP_NB_5H_293807_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_2"	"KP_NB_5H_293808_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_3"	"KP_NB_5H_293809_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_4"	"KP_NB_5H_293817_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_5"	"KP_NB_5H_293818_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_6"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_6"	"KP_NB_5H_293819_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_7"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_7"	"KP_NB_7H_293816_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_8"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_8"	"KP_NB_7H_293817_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_9"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_9"	"KP_NB_7H_293818_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_10"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_10"	"KP_NB_7H_293843_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_11"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_11"	"KP_NB_7H_293844_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_12"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_12"	"KP_NB_7H_293846_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_13"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_13"	"KP_NB_15H_293827_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_14"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_14"	"KP_NB_15H_293828_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_15"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_15"	"KP_NB_15H_293829_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_16"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_16"	"KP_NB_15H_293844_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_17"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_17"	"KP_NB_15H_293846_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Kp_NB_18"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Kp_NB_18"	"KP_NB_15H_293847_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_1"	"PA_ASM_5H_293804_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_2"	"PA_ASM_5H_293805_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_3"	"PA_ASM_5H_293806_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_4"	"PA_ASM_5H_293804_1 (2).CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_5"	"PA_ASM_5H_293805_1 (2).CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_6"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_6"	"PA_ASM_5H_293816_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_7"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_7"	"PA_ASM_7H_293813_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_8"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_8"	"PA_ASM_7H_293814_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_9"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_9"	"PA_ASM_7H_293815_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_10"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_10"	"PA_ASM_7H_293824_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_11"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_11"	"PA_ASM_7H_293841_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_12"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_12"	"PA_ASM_7H_293842_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_13"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_13"	"PA_ASM_12H_293812_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_14"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_14"	"PA_ASM_12H_293813_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_15"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_15"	"PA_ASM_12H_293814_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_16"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_16"	"PA_ASM_12H_293809_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pa_ASM_17"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Pa_ASM_17"	"PA_ASM_12H_293819_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
