"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Bacteria]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Media]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"N84"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_ASM_18"	"Pseudomonas aeruginosa"	"EFO"	""	"Artificial sputum medium"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N85"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_1"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N86"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_2"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N87"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_3"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N88"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_4"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N89"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_5"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N90"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_6"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N91"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_7"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N92"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_8"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N93"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_9"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N94"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_10"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N95"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_11"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N96"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_12"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N97"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_13"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N98"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_14"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N99"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_15"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N100"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_16"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N101"	"Pseudomonas aeruginosa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/287"	"Pseudomonas aeruginosa PA01"	""	""	"headspace"	""	""	"Sample collection"	"Pa_NB_17"	"Pseudomonas aeruginosa"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N102"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_1"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N103"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_2"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N104"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_3"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N105"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_4"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N106"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_5"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N107"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_6"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N108"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_7"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N109"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_8"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N110"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_9"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N111"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_10"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N112"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_11"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N113"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_12"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N114"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_13"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N115"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_14"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N116"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_15"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N117"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_16"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N118"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_17"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N119"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_ASM_18"	"Staphylococcus aureus"	"EFO"	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N120"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_1"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N121"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_2"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N122"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_3"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N123"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_4"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N124"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_5"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N125"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_6"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N126"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_7"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N127"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_8"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N128"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_9"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N129"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_10"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N130"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_11"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N131"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_12"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N132"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_13"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N133"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_14"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N134"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_15"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N135"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_16"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N136"	"Staphylococcus aureus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1280"	"Staphylococcus aureus ATCC 29213"	""	""	"headspace"	""	""	"Sample collection"	"Sa_NB_17"	"Staphylococcus aureus"	"EFO"	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N59"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_1"	"NB"	""	""	"Nutrient broth"	""	""	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N60"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_2"	"NB"	""	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N61"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_3"	"NB"	""	""	"Nutrient broth"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N62"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_4"	"NB"	""	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N63"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_5"	"NB"	""	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N64"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_6"	"NB"	""	""	"Nutrient broth"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N65"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_7"	"NB"	""	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N66"	"Nutrient broth"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"NB_8"	"NB"	""	""	"Nutrient broth"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N137"	"blank"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"SO_1"	"SO"	""	""	"N/A"	""	""	"N/A"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N138"	"blank"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"SO_2"	"SO"	""	""	"N/A"	""	""	"N/A"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N139"	"blank"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"SO_3"	"SO"	""	""	"N/A"	""	""	"N/A"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N140"	"blank"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"SO_4"	"SO"	""	""	"N/A"	""	""	"N/A"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
