Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[batch]	Characteristics[single cell well quality]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[spike sequence file]	Comment[spike_in_concentration.txt]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[phenotype]	Factor value [individual]
cell10S19	ERS756073	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S19	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S19	sequencing assay	ERX1000516	cell10S19.fastq.gz	cell10S19.fastq.gz	ERR920982	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920982/ERR920982_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S19
cell10S2	ERS756074	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S2	sequencing assay	ERX1000517	cell10S2.fastq.gz	cell10S2.fastq.gz	ERR920983	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920983/ERR920983_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S2
cell10S2	ERS756074	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S2	sequencing assay	ERX1000517	cell10S2.fastq.gz	cell10S2.fastq.gz	ERR920983	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920983/ERR920983_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S2
cell10S20	ERS756075	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S20	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S20	sequencing assay	ERX1000518	cell10S20.fastq.gz	cell10S20.fastq.gz	ERR920984	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920984/ERR920984_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S20
cell10S20	ERS756075	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S20	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S20	sequencing assay	ERX1000518	cell10S20.fastq.gz	cell10S20.fastq.gz	ERR920984	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920984/ERR920984_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S20
cell10S21	ERS756076	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S21	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S21	sequencing assay	ERX1000519	cell10S21.fastq.gz	cell10S21.fastq.gz	ERR920985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920985/ERR920985_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S21
cell10S21	ERS756076	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S21	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S21	sequencing assay	ERX1000519	cell10S21.fastq.gz	cell10S21.fastq.gz	ERR920985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920985/ERR920985_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S21
cell10S22	ERS756077	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S22	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S22	sequencing assay	ERX1000520	cell10S22.fastq.gz	cell10S22.fastq.gz	ERR920986	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920986/ERR920986_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S22
cell10S22	ERS756077	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S22	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S22	sequencing assay	ERX1000520	cell10S22.fastq.gz	cell10S22.fastq.gz	ERR920986	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920986/ERR920986_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S22
cell10S23	ERS756078	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S23	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S23	sequencing assay	ERX1000521	cell10S23.fastq.gz	cell10S23.fastq.gz	ERR920987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920987/ERR920987_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S23
cell10S23	ERS756078	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S23	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S23	sequencing assay	ERX1000521	cell10S23.fastq.gz	cell10S23.fastq.gz	ERR920987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920987/ERR920987_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S23
cell10S24	ERS756079	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S24	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S24	sequencing assay	ERX1000522	cell10S24.fastq.gz	cell10S24.fastq.gz	ERR920988	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920988/ERR920988_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S24
cell10S24	ERS756079	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S24	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S24	sequencing assay	ERX1000522	cell10S24.fastq.gz	cell10S24.fastq.gz	ERR920988	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920988/ERR920988_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S24
cell10S3	ERS756080	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S3	sequencing assay	ERX1000523	cell10S3.fastq.gz	cell10S3.fastq.gz	ERR920989	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920989/ERR920989_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S3
cell10S3	ERS756080	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S3	sequencing assay	ERX1000523	cell10S3.fastq.gz	cell10S3.fastq.gz	ERR920989	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920989/ERR920989_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S3
cell10S4	ERS756081	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S4	sequencing assay	ERX1000524	cell10S4.fastq.gz	cell10S4.fastq.gz	ERR920990	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920990/ERR920990_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S4
cell10S4	ERS756081	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S4	sequencing assay	ERX1000524	cell10S4.fastq.gz	cell10S4.fastq.gz	ERR920990	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920990/ERR920990_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S4
cell10S5	ERS756082	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S5	sequencing assay	ERX1000525	cell10S5.fastq.gz	cell10S5.fastq.gz	ERR920991	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920991/ERR920991_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S5
cell10S5	ERS756082	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S5	sequencing assay	ERX1000525	cell10S5.fastq.gz	cell10S5.fastq.gz	ERR920991	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920991/ERR920991_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S5
cell10S6	ERS756083	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S6	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S6	sequencing assay	ERX1000526	cell10S6.fastq.gz	cell10S6.fastq.gz	ERR920992	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920992/ERR920992_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S6
cell10S6	ERS756083	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S6	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S6	sequencing assay	ERX1000526	cell10S6.fastq.gz	cell10S6.fastq.gz	ERR920992	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920992/ERR920992_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S6
cell10S7	ERS756084	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S7	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S7	sequencing assay	ERX1000527	cell10S7.fastq.gz	cell10S7.fastq.gz	ERR920993	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920993/ERR920993_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S7
cell10S7	ERS756084	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S7	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S7	sequencing assay	ERX1000527	cell10S7.fastq.gz	cell10S7.fastq.gz	ERR920993	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920993/ERR920993_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S7
cell10S8	ERS756085	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S8	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S8	sequencing assay	ERX1000528	cell10S8.fastq.gz	cell10S8.fastq.gz	ERR920994	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920994/ERR920994_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S8
cell10S8	ERS756085	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S8	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S8	sequencing assay	ERX1000528	cell10S8.fastq.gz	cell10S8.fastq.gz	ERR920994	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920994/ERR920994_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S8
cell10S9	ERS756086	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S9	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S9	sequencing assay	ERX1000529	cell10S9.fastq.gz	cell10S9.fastq.gz	ERR920995	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920995/ERR920995_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S9
cell10S9	ERS756086	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S9	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S9	sequencing assay	ERX1000529	cell10S9.fastq.gz	cell10S9.fastq.gz	ERR920995	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920995/ERR920995_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S9
