"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Extraction replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection replicate]"	"Term Source REF"	"Term Accession Number"
"WTA38-12S_1-B,6_01_27806"	"Extraction"	""	""	"WTA38-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA38-12S_1-B,6_01_27806"	"WTA38-12S_1-B,6_01_27806.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA38-21S_2-B,6_01_27770"	"Extraction"	""	""	"WTA38-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA38-21S_2-B,6_01_27770"	"WTA38-21S_2-B,6_01_27770.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA38-22S_2-B,6_01_27841"	"Extraction"	""	""	"WTA38-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA38-22S_2-B,6_01_27841"	"WTA38-22S_2-B,6_01_27841.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA39-11_1-B,1_01_28939"	"Extraction"	""	""	"WTA39-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA39-11_1-B,1_01_28939"	"WTA39-11_1-B,1_01_28939.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA39-12_1-B,1_01_29004"	"Extraction"	""	""	"WTA39-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA39-12_1-B,1_01_29004"	"WTA39-12_1-B,1_01_29004.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA39-21_1-E,6_01_28972"	"Extraction"	""	""	"WTA39-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA39-21_1-E,6_01_28972"	"WTA39-21_1-E,6_01_28972.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA39-22_1-E,6_01_29037"	"Extraction"	""	""	"WTA39-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA39-22_1-E,6_01_29037"	"WTA39-22_1-E,6_01_29037.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA41-11S_1-C,6_01_27744"	"Extraction"	""	""	"WTA41-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA41-11S_1-C,6_01_27744"	"WTA41-11S_1-C,6_01_27744.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA41-12S_1-C,6_01_27815"	"Extraction"	""	""	"WTA41-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA41-12S_1-C,6_01_27815"	"WTA41-12S_1-C,6_01_27815.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA41-21S_2-C,6_01_27780"	"Extraction"	""	""	"WTA41-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA41-21S_2-C,6_01_27780"	"WTA41-21S_2-C,6_01_27780.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA41-22S_2-C,6_01_27850"	"Extraction"	""	""	"WTA41-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA41-22S_2-C,6_01_27850"	"WTA41-22S_2-C,6_01_27850.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA44-11_1-C,6_01_28954"	"Extraction"	""	""	"WTA44-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA44-11_1-C,6_01_28954"	"WTA44-11_1-C,6_01_28954.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA44-12_1-C,6_01_29019"	"Extraction"	""	""	"WTA44-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA44-12_1-C,6_01_29019"	"WTA44-12_1-C,6_01_29019.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA44-21_2-A,1_01_28985"	"Extraction"	""	""	"WTA44-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA44-21_2-A,1_01_28985"	"WTA44-21_2-A,1_01_28985.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA44-22_2-A,1_01_29050"	"Extraction"	""	""	"WTA44-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA44-22_2-A,1_01_29050"	"WTA44-22_2-A,1_01_29050.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA49-11_1-C,8_01_28956"	"Extraction"	""	""	"WTA49-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA49-11_1-C,8_01_28956"	"WTA49-11_1-C,8_01_28956.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA49-12_1-C,8_01_29021"	"Extraction"	""	""	"WTA49-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA49-12_1-C,8_01_29021"	"WTA49-12_1-C,8_01_29021.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA49-21_2-A,3_01_28987"	"Extraction"	""	""	"WTA49-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA49-21_2-A,3_01_28987"	"WTA49-21_2-A,3_01_28987.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA49-22_2-A,3_01_29052"	"Extraction"	""	""	"WTA49-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA49-22_2-A,3_01_29052"	"WTA49-22_2-A,3_01_29052.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA50-11S_1-A,6_01_27727"	"Extraction"	""	""	"WTA50-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA50-11S_1-A,6_01_27727"	"WTA50-11S_1-A,6_01_27727.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA50-12S_1-A,6_01_27798"	"Extraction"	""	""	"WTA50-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA50-12S_1-A,6_01_27798"	"WTA50-12S_1-A,6_01_27798.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA50-21S_2-A,6_01_27762"	"Extraction"	""	""	"WTA50-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA50-21S_2-A,6_01_27762"	"WTA50-21S_2-A,6_01_27762.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA50-22S_2-A,6_01_27833"	"Extraction"	""	""	"WTA50-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA50-22S_2-A,6_01_27833"	"WTA50-22S_2-A,6_01_27833.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA51-11_1-D,1_01_28957"	"Extraction"	""	""	"WTA51-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA51-11_1-D,1_01_28957"	"WTA51-11_1-D,1_01_28957.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA51-12_1-D,1_01_29022"	"Extraction"	""	""	"WTA51-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA51-12_1-D,1_01_29022"	"WTA51-12_1-D,1_01_29022.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA51-21_2-A,4_01_28988"	"Extraction"	""	""	"WTA51-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA51-21_2-A,4_01_28988"	"WTA51-21_2-A,4_01_28988.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA51-22_2-A,4_01_29053"	"Extraction"	""	""	"WTA51-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA51-22_2-A,4_01_29053"	"WTA51-22_2-A,4_01_29053.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA52-11_1-A,1_01_28931"	"Extraction"	""	""	"WTA52-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA52-11_1-A,1_01_28931"	"WTA52-11_1-A,1_01_28931.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA52-12_1-A,1_01_28996"	"Extraction"	""	""	"WTA52-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA52-12_1-A,1_01_28996"	"WTA52-12_1-A,1_01_28996.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA52-21_1-D,6_01_28964"	"Extraction"	""	""	"WTA52-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA52-21_1-D,6_01_28964"	"WTA52-21_1-D,6_01_28964.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA52-22_1-D,6_01_29029"	"Extraction"	""	""	"WTA52-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA52-22_1-D,6_01_29029"	"WTA52-22_1-D,6_01_29029.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA62-11_1-D,2_01_28958"	"Extraction"	""	""	"WTA62-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA62-11_1-D,2_01_28958"	"WTA62-11_1-D,2_01_28958.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA62-12_1-D,2_01_29023"	"Extraction"	""	""	"WTA62-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA62-12_1-D,2_01_29023"	"WTA62-12_1-D,2_01_29023.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA62-21_2-A,5_01_28989"	"Extraction"	""	""	"WTA62-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA62-21_2-A,5_01_28989"	"WTA62-21_2-A,5_01_28989.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA62-22_2-A,5_01_29054"	"Extraction"	""	""	"WTA62-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA62-22_2-A,5_01_29054"	"WTA62-22_2-A,5_01_29054.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA63-11_1-A,5_01_28935"	"Extraction"	""	""	"WTA63-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA63-11_1-A,5_01_28935"	"WTA63-11_1-A,5_01_28935.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA63-12_1-A,5_01_29000"	"Extraction"	""	""	"WTA63-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA63-12_1-A,5_01_29000"	"WTA63-12_1-A,5_01_29000.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA63-21_1-E,2_01_28968"	"Extraction"	""	""	"WTA63-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA63-21_1-E,2_01_28968"	"WTA63-21_1-E,2_01_28968.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
