"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006088"	"106"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006118"	"107"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006029"	"108"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006089"	"109"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006119"	"110"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006030"	"111"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006090"	"112"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006120"	"113"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_035_POS"	"114"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_036_POS"	"115"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_037_POS"	"116"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_006_NEG"	"117"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_007_NEG"	"118"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_008_NEG"	"119"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_009_NEG"	"120"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_010_NEG"	"121"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006001_NEG"	"122"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006031_NEG"	"123"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006091_NEG"	"124"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006002_NEG"	"125"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006092_NEG"	"126"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006003_NEG"	"127"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006033_NEG"	"128"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_011_NEG"	"129"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006093_NEG"	"130"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006004_NEG"	"131"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006034_NEG"	"132"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006094_NEG"	"133"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006005_NEG"	"134"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006035_NEG"	"135"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006095_NEG"	"136"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_012_NEG"	"137"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006096_NEG"	"138"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006007_NEG"	"139"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006037_NEG"	"140"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006097_NEG"	"141"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006008_NEG"	"142"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006038_NEG"	"143"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_013_NEG"	"144"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006098_NEG"	"145"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006009_NEG"	"146"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006039_NEG"	"147"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006099_NEG"	"148"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006010_NEG"	"149"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006040_NEG"	"150"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006100_NEG"	"151"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_014_NEG"	"152"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006011_NEG"	"153"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006041_NEG"	"154"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006101_NEG"	"155"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006012_NEG"	"156"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006042_NEG"	"157"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006102_NEG"	"158"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006013_NEG"	"159"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006043_NEG"	"160"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_015_NEG"	"161"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006103_NEG"	"162"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006014_NEG"	"163"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006104_NEG"	"164"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006045_NEG"	"165"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006105_NEG"	"166"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_016_NEG"	"167"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_017_NEG"	"168"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_018_NEG"	"169"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_019_NEG"	"170"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_020_NEG"	"171"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_021_NEG"	"172"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_022_NEG"	"173"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_023_NEG"	"174"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_024_NEG"	"175"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_027_NEG"	"176"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_028_NEG"	"177"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006016_NEG"	"178"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006076_NEG"	"179"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006106_NEG"	"180"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006017_NEG"	"181"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006077_NEG"	"182"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006107_NEG"	"183"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006018_NEG"	"184"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_030_NEG"	"185"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006078_NEG"	"186"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006108_NEG"	"187"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006049_NEG"	"188"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006079_NEG"	"189"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006109_NEG"	"190"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006020_NEG"	"191"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006080_NEG"	"192"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006110_NEG"	"193"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_031_NEG"	"194"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006021_NEG"	"195"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006051_NEG"	"196"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006081_NEG"	"197"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006111_NEG"	"198"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006082_NEG"	"199"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006112_NEG"	"200"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006023_NEG"	"201"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006053_NEG"	"202"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_032_NEG"	"203"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006083_NEG"	"204"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006113_NEG"	"205"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006024_NEG"	"206"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006054_NEG"	"207"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006084_NEG"	"208"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006114_NEG"	"209"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006025_NEG"	"210"	""	""	"2"	""	""
