"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"85"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"85"	"85_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"86"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"86"	"86_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"87"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"87"	"87_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"88"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"88"	"88_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"89"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"89"	"89_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"90"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"90"	"90_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"58"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"58"	"58_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"59"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"59"	"59_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"60"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"60"	"60_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"61"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"61"	"61_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"62"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"62"	"62_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"63"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"63"	"63_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"64"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"64"	"64_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"65"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"65"	"65_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"66"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"66"	"66_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"67"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"67"	"67_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"68"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"68"	"68_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"69"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"69"	"69_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"70"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"70"	"70_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"71"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"71"	"71_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"72"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"72"	"72_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"73"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"73"	"73_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"74"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"74"	"74_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"75"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"75"	"75_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"76"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"76"	"76_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"77"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"77"	"77_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"39"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"39"	"39_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"40"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"40"	"40_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"41"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"41"	"41_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"42"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"42"	"42_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"43"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"43"	"43_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"44"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"44"	"44_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"45"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"45"	"45_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"46"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"46"	"46_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"47"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"47"	"47_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"48"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"48"	"48_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"49"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"49"	"49_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"50"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"50"	"50_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"51"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"51"	"51_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"52"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"52"	"52_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"53"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"53"	"53_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"54"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"54"	"54_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"55"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"55"	"55_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"56"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"56"	"56_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"57"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"57"	"57_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
