"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"MGluc2DPBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DPBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"MGluc2DPBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DPBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"MGluc2DPBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DPBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"MGluc2DVecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DVecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"MGluc2DVecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DVecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"MGluc2DVecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"MGluc2DVecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMLac105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMLac105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMLac105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMLac231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMLac231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMLac231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLac231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMLacPBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacPBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMLacPBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacPBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMLacPBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacPBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMLacVecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacVecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMLacVecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacVecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMLacVecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMLacVecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMQ105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMQ105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMQ105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFMQ231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMQ231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMQ231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQ231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFMQPBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQPBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMQPBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQPBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMQPBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQPBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFMQVecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQVecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMQVecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQVecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFMQVecEV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFMQVecEV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"PDXCAFantiGluc2D2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiGluc2D2"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFantiGluc2D1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiGluc2D1"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFantiGluc2D3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiGluc2D3"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFGluc2D1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFGluc2D1"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDXCAFGluc2D2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFGluc2D2"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDXCAFGluc2D3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFGluc2D3"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"CAFantiPDX1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFantiPDX1"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"CAFantiPDX2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFantiPDX2"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"CAFantiPDX3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFantiPDX3"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"CAFPDX1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFPDX1"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"CAFPDX2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFPDX2"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"CAFPDX3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"CAFPDX3"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDXCAFantiQ2D1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiQ2D1"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFantiQ2D2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiQ2D2"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFantiQ2D3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantiQ2D3"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF"	""	""
"PDXCAFQ2D1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFQ2D1"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDXCAFQ2D2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFQ2D2"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDXCAFQ2D3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFQ2D3"	"mammary tumor tissue from mice"	""	""	"With CAF"	""	""
"PDX1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDX1"	"mammary tumor tissue from mice"	""	""	"No CAF, no MCT inhibitor"	""	""
"PDX2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDX2"	"mammary tumor tissue from mice"	""	""	"No CAF, no MCT inhibitor"	""	""
"PDX3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDX3"	"mammary tumor tissue from mice"	""	""	"No CAF, no MCT inhibitor"	""	""
"PDXCAF1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAF1"	"mammary tumor tissue from mice"	""	""	"With CAF, no MCT inhibitor"	""	""
"PDXCAF2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAF2"	"mammary tumor tissue from mice"	""	""	"With CAF, no MCT inhibitor"	""	""
"PDXCAF3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAF3"	"mammary tumor tissue from mice"	""	""	"With CAF, no MCT inhibitor"	""	""
"PDXCAFanti1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFanti1"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF, no MCT inhibitor"	""	""
"PDXCAFanti2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFanti2"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF, no MCT inhibitor"	""	""
"PDXCAFanti3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFanti3"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF, no MCT inhibitor"	""	""
"PDXCAFantimcti1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantimcti1"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF; with MCT inhibitor"	""	""
"PDXCAFantimcti2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantimcti2"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF; with MCT inhibitor"	""	""
"PDXCAFantimcti3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFantimcti3"	"mammary tumor tissue from mice"	""	""	"With miR-105-resistant CAF; with MCT inhibitor"	""	""
"PDXCAFmcti1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFmcti1"	"mammary tumor tissue from mice"	""	""	"With CAF; with MCT inhibitor"	""	""
"PDXCAFmcti2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFmcti2"	"mammary tumor tissue from mice"	""	""	"With CAF; with MCT inhibitor"	""	""
"PDXCAFmcti3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXCAFmcti3"	"mammary tumor tissue from mice"	""	""	"With CAF; with MCT inhibitor"	""	""
"PDXmcti1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXmcti1"	"mammary tumor tissue from mice"	""	""	"No CAF, with MCT inhibitor"	""	""
"PDXmcti2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXmcti2"	"mammary tumor tissue from mice"	""	""	"No CAF, with MCT inhibitor"	""	""
"PDXmcti3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"mammary gland tumor cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004087"	"Sample collection"	"PDXmcti3"	"mammary tumor tissue from mice"	""	""	"No CAF, with MCT inhibitor"	""	""
