database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	K-1	L-1	M-1	N-1	K-3	L-3	M-3	N-3	K-5	L-5	M-5	N-5	L-6	M-6	N-6
CHEBI:28875		CCCCCCCCCCCCCC(O)=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)	Myristic acid																	2063.78	1045.11	483.38	718.86	853.31	583.64	590.38	983.83	934.35	537.49	1178.61	2076.48	177.68	525.47	1029.91
CHEBI:27781		CCCC\C=C/CCCCCCCC(O)=O	InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-	Myristoleic acid																	47.1	90.53	232.23	378.77	866.74	358.92	2491.78	463.26	894.48	104.86	1078.59	348.19	1055.01	1723.25	43.36
CHEBI:70976	C13H14N2O3	CC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C13H14N2O3/c1-8(16)15-12(13(17)18)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7,12,14H,6H2,1H3,(H,15,16)(H,17,18)	N-acetyltryptophan																	568.84	604.44	774.94	699.64	624.62	624.93	979.97	1166.88	564.79	680.13	2246.12	586.58	2698.38	2245.3	335.75
CHEBI:44247		OC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O	InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h9-10H,2-8,11-23H2,1H3,(H,25,26)/b10-9-	Nervonic acid																	6435.89	3659.83	149.47	78366	7778.92	27313.65	46957.85	1952.12	5217.82	128267.02	540.65	8587.71	28963.4	554.58	79355.81
CHEBI:15940		OC(=O)c1cccnc1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	Nicotinic acid																	103.24	330.59	198.17	103.15	161.89	240.38	372.08	123.05	46.25	468.94	432.52	67.57	845.63	463.4	155.88
CHEBI:39246		CCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)	Nonadecanoic acid																	15.74	18.28	19.43	40.79	12.72	25.04	50.86	26.23	9.58	27.19	63.26	25.79	63.68	41.95	28.62
CHEBI:19475		CCCC(N)C(O)=O	InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Norvaline																	15.28	27.99	124.99	29.38	48.5	31.81	665.23	5155.89	230.13	50.15	228.69	10.06	288.57	31.89	120.07
CHEBI:18257		NCCCC(N)C(O)=O	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)	Ornithine																	1189.52	274.86	657.33	1926.58	2284.41	4183.99	2489.62	2300.21	1243.69	5000.42	11703.37	1140.36	14200.04	4529.34	763.13
CHEBI:16995		OC(=O)C(O)=O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	Oxalic acid																	6.13	10060.46	1806.2	1946.91	7.37	7791.45	4106.99	6078.59	2.97	6.68	318.71	1648.5	22.44	99.32	962.84
CHEBI:30915		OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid																	111.11	215.22	235.99	164.77	150	164.23	330.57	490.96	79.58	439.31	429.54	170.73	478	483.31	60.93
CHEBI:15756		CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	Palmitic acid																	4581.59	4884.48	1730.95	2819.63	4413.11	2230.33	3189.39	2287.15	3116.24	1951.32	3538.53	2527.2	914.77	1228.17	3123.45
CHEBI:28716		C(CCCCCCC/C=C\CCCCCC)(=O)O	InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-	Palmitoleic acid																	99.76	612.64	375.88	2063.95	502.07	112.7	948.3	379.84	273.04	228.45	383.05	86.62	175.07	278.9	71.51
CHEBI:29019		CCCCCCCCC(O)=O	InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)	Pelargonic acid																	8.68	73.76	8.16	23.31	15.57	41.63	431.81	19.81	10.39	15.31	29.74	21.3	79.68	20.98	49.03
CHEBI:42504		CCCCCCCCCCCCCCC(O)=O	InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)	Pentadecanoic acid																	406.58	1157.95	187.55	316.16	375.37	129.54	169.37	291.02	728.04	292.93	34.6	340.19	27.14	57.15	512.4
CHEBI:30745		OC(=O)Cc1ccccc1	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)	Phenylacetic acid																	1733.59	2908.75	861.72	4644.79	3154	2809.33	1060.09	3060.46	2737.71	2159.41	181.39	3083.86	2782.4	1771.2	3451.36
CHEBI:50048				Phenylethylamine																	315.49	27.11	23.57	103.53	168.49	28.68	51.1	119.11	117.7	33.87	58.93	176.21	388.12	554.58	49.22
				Phenyllactic acid																	11.34	274.86	1219.98	243.13	13.67	238.18	54.22	21.16	11.28	20.03	191.93	45.38	127.33	128.64	1264.67
CHEBI:30768		CCC(O)=O	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)	Propionic acid																	3305.04	4847.03	13691.63	18418.59	19121.43	7068.2	39156.49	1191.42	39150.69	124173.88	32020.32	1423.68	17718.22	47221.46	30806.11
CHEBI:35584				Purine																	166.43	489.96	129.39	107.12	168.49	321.01	589.42	165.94	54.56	312.3	195.71	127.69	464.95	554.58	123.28
CHEBI:17148		NCCCCN	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2	Putrescine																	119.21	2438.83	2679.83	1048.15	201.47	65.91	9170.44	233.04	67.18	167.87	2694.31	100.82	104.11	3579.21	170.9
CHEBI:18183		OC(=O)[C@@H]1CCC(=O)N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	Pyroglutamic acid																	152.65	657.9	4250.17	4882.34	1464.02	362.39	5900.2	4655.14	2351.53	5022.89	6744.56	3387.93	1011.83	8227.98	6387.57
CHEBI:28842		C(CCCCCCCCCC)CCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	Stearic acid																	1330.37	1324.63	554.1	1457.92	1486.96	601.92	737.19	505.59	898.86	970.45	513.61	1023.01	476.95	449.27	1590.3
CHEBI:9300		OC(=O)CCCCCCC(O)=O	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	Suberic acid																	179.04	276.12	63.6	191.8	93.9	74.96	143.7	107.51	91.16	164.29	139.76	166.95	229.61	105.52	143.12
CHEBI:15741		OC(=O)CCC(O)=O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	Succinic acid																	487.59	852.2	868.32	300.78	523.47	919.12	1578.5	319.72	229.69	313.6	5637.05	674.64	4769.79	1678.3	382.98
CHEBI:26849				Tartaric acid																	185.52	132.26	149.47	381.37	143.59	238.18	431.81	195.66	117.7	354.8	424.95	95.16	667.94	403.04	156.73
CHEBI:28866		CCCCCCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)	Tetracosanoic acid																	30.44	20.8	149.47	164.77	50.04	238.18	24.71	10.7	14.85	23.77	540.65	13.48	27.14	554.58	16.44
CHEBI:26948				Thiamine																	2169.91	50356.78	149.47	164.77	168.49	27822.5	431.81	1751.5	8406.36	354.8	17405.57	3475.99	42637.95	22405.89	2451.68
CHEBI:17418		CCCCC(O)=O	InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	Valeric acid																	1098.79	2307.96	927.51	2131.52	963.38	418.31	229.82	19.81	360.94	1949.53	73.8	1333.1	234.3	130.57	1514.54
CHEBI:30816		COc1cc(ccc1O)C(O)=O	InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)	Vanillic acid																	62.96	71.74	86.13	90.51	132.77	48.99	132.66	46.5	23.01	54.22	328.17	80.78	163.07	110.23	46.67
CHEBI:32805		OC(=O)C\C(=C\C(O)=O)C(O)=O	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-	cis-Aconitic acid																	66.66	112.84	99.09	72.65	73.69	73.95	176.56	108.64	39.64	105.67	209.23	129.66	223.34	269.91	62.54
CHEBI:17847		Cc1ccc(O)cc1	InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3	p-Cresol																	290245.37	384525.96	310949.97	56903.45	448931.69	298364.06	437447.1	342052.35	371101.92	399344.78	540646.33	383652.08	173894.92	84069.82	418196.57
CHEBI:18101		OC(=O)Cc1ccc(O)cc1	InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)	p-Hydroxyphenylacetic acid																	140.73	70.86	123.95	326.7	87.24	95.78	147.53	630.78	71.42	336.73	374.4	391.86	538.27	341.82	153.23
