"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glucose source]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Level measurement type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell number]"	"Term Source REF"	"Term Accession Number"
"5_49"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_49"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_50"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_50"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_51"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_51"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"5_52"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_52"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_53"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_53"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"5_54"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_54"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_55"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_55"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_56"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_56"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_57"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_57"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_58"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_58"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"5_59"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_59"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_60"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_60"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_61"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_61"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"5_62"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_62"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_63"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_63"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_64"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_64"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_65"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_65"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_66"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_66"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_67"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_67"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_68"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_68"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_69"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_69"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_70"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_70"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"5_71"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_71"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_72"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_72"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_73"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_73"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"5_74"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_74"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"5_75"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"5_75"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_1"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_1"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_2"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_3"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_3"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
"6_4"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_4"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"6_5"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_5"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_6"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_6"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_7"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_7"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_8"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_8"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_9"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_9"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_10"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_10"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_11"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_11"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6"	""	""
"6_12"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_12"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
"6_13"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_13"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6"	""	""
"6_14"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_14"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_15"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_15"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_16"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_16"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_17"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_17"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_18"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_18"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_19"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_19"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_20"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_20"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_21"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_21"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"5"	""	""
"6_22"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_22"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_23"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_23"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_24"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_24"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_25"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_25"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"6"	""	""
"6_26"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_26"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_27"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_27"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_28"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_28"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_29"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_29"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"6_30"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_30"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"6_31"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_31"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_32"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_32"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"6_33"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"6_33"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ double deionized water"	""	""	"1"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
