"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"HW"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HW"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HW"	"SAMN07449018.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HY"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HY"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HY"	"SAMN07449019.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HZ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HZ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HZ"	"SAMN07449020.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C10"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C10"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C10"	"SAMN07449021.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C13"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C13"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C13"	"SAMN07449022.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C14"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C14"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C14"	"SAMN07449023.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C15"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C15"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C15"	"SAMN07449024.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C16"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C16"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C16"	"SAMN07449025.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C18"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C18"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C18"	"SAMN07449038.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C19"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C19"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C19"	"SAMN07449026.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C2"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C2"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C2"	"SAMN07449027.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C3"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C3"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C3"	"SAMN07449032.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C4"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C4"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C4"	"SAMN07449033.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C5"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C5"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C5"	"SAMN07449034.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C6"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C6"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C6"	"SAMN07449035.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C7"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C7"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C7"	"SAMN07449036.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"C9"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"C9"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"C9"	"SAMN07449037.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HDA"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HDA"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HDA"	"SAMN07449039.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAU"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAU"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAU"	"SAMN07449040.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAV"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAV"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAV"	"SAMN07449041.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAX"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAX"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAX"	"SAMN07449042.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HAZ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HAZ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HAZ"	"SAMN07449043.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBA"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBA"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBA"	"SAMN07449044.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBB"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBB"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBB"	"SAMN07449045.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBC"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBC"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBC"	"SAMN07449046.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBD"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBD"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBD"	"SAMN07449047.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBE"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBE"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBE"	"SAMN07449048.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBF"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBF"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBF"	"SAMN07449049.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBG"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBG"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBG"	"SAMN07449050.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBH"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBH"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBH"	"SAMN07449051.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBI"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBI"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBI"	"SAMN07449052.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBJ"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBJ"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBJ"	"SAMN07449053.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBK"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBK"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBK"	"SAMN07449054.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBL"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBL"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBL"	"SAMN07449055.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBM"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBM"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBM"	"SAMN07449056.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBR"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBR"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBR"	"SAMN07449057.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBV"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBV"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBV"	"SAMN07449058.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBW"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBW"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBW"	"SAMN07449059.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
"HBY"	"Extraction"	"water/methanol (80:20 v/v) diluent"	"methoxymation"	""	""	"sylilation"	""	""	"HBY"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 25 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	""	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"HBY"	"SAMN07449060.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls803_STOOL_mass_spectrometry_v2_maf.tsv"
