"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A30 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A30 CT S4"	"A30 CT S4-profile.ibd"	"A30 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A30 - 2012-08-07 10.10.32.ndpi"	""	""	"A30 centre S4 75um.jpg"	""	""	"Data transformation"	""	"A30 CT S4-profile.imzML"	"A30 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A31 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A31 10cm S4"	"A31 10cm S4-profile.ibd"	"A31 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A31 10CM (4) - 2014-05-27 17.10.09.ndpi"	""	""	"A31 10cm S4.jpg"	""	""	"Data transformation"	""	"A31 10cm S4-profile.imzML"	"A31 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A31 5cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A31 5cm S3"	"A31 5cm S3-profile.ibd"	"A31 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A31 5CM 3 BOTTOM - 2014-08-13 17.08.44.ndpi"	""	""	"A31 5cm S3.jpg"	""	""	"Data transformation"	""	"A31 5cm S3-profile.imzML"	"A31 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A31 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A31 CT S3"	"A31 CT S3-profile.ibd"	"A31 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A31 CENTRE 3 BOTTOM - 2014-07-10 12.40.06.ndpi"	""	""	"A31 CT S3-2.jpg"	""	""	"Data transformation"	""	"A31 CT S3-profile.imzML"	"A31 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A31 jcn S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A31 jcn S10"	"A31 jcn S10-profile.ibd"	"A31 jcn S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A31Jc - 2012-08-06 18.12.40.ndpi"	""	""	"A31 junction S10 75um.jpg"	""	""	"Data transformation"	""	"A31 jcn S10-profile.imzML"	"A31 jcn S10-centroid.imzML"	"Metabolite identification"	""	""
"A32 CT S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A32 CT S10"	"A32 CT S10-profile.ibd"	"A32 CT S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A32 CT S10.jpg"	""	""	"Data transformation"	""	"A32 CT S10-profile.imzML"	"A32 CT S10-centroid.imzML"	"Metabolite identification"	""	""
"A32 jcn S6"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A32 jcn S6"	"A32 Jcn S6-profile.ibd"	"A32 Jcn S6-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A32 Jc S6.jpg"	""	""	"Data transformation"	""	"A32 Jcn S6-profile.imzML"	"A32 Jcn S6-centroid.imzML"	"Metabolite identification"	""	""
"A33 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A33 CT S4"	"A33 CT S4-profile.ibd"	"A33 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A33 Centre (4) - 2013-07-17 13.15.11.ndpi"	""	""	"A33 CT S4.jpg"	""	""	"Data transformation"	""	"A33 CT S4-profile.imzML"	"A33 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A34 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A34 10cm S4"	"A34 10cm S4-profile.ibd"	"A34 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A34 10cm - 2013-07-17 17.48.51.ndpi"	""	""	"A34 10cm S4.jpg"	""	""	"Data transformation"	""	"A34 10cm S4-profile.imzML"	"A34 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A35 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A35 10cm S4"	"A35 10cm S4-profile.ibd"	"A35 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A35 10cm - 2013-07-17 17.09.08.ndpi"	""	""	"A35 10cm S4.jpg"	""	""	"Data transformation"	""	"A35 10cm S4-profile.imzML"	"A35 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A35 centre S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A35 centre S4"	"A35 centre S4-profile.ibd"	"A35 centre S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A35 CT - 2013-07-17 17.03.13.ndpi"	""	""	"A35 centre S4.jpg"	""	""	"Data transformation"	""	"A35 centre S4-profile.imzML"	"A35 centre S4-centroid.imzML"	"Metabolite identification"	""	""
"A35 junction S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A35 junction S5"	"A35 junction S5-profile.ibd"	"A35 junction S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A35 Junction (5) - 2013-07-17 13.23.05.ndpi"	""	""	"A35 jcn S5.jpg"	""	""	"Data transformation"	""	"A35 junction S5-profile.imzML"	"A35 junction S5-centroid.imzML"	"Metabolite identification"	""	""
"A36 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A36 10cm S3"	"A36 10cm S3-profile.ibd"	"A36 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A36 10CM 3 TOP - 2014-08-13 17.39.26.ndpi"	""	""	"A36 10cm S3.jpg"	""	""	"Data transformation"	""	"A36 10cm S3-profile.imzML"	"A36 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A36 5cm"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A36 5cm"	"A36 5cm S4-profile.ibd"	"A36 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A36 5CM 4 BOTTOM - 2014-10-30 16.43.38.ndpi"	""	""	""	""	""	"Data transformation"	""	"A36 5cm S4-profile.imzML"	"A36 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A36 CP S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A36 CP S3"	"A36 CP S3-profile.ibd"	"A36 CP S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A36 CENTRE OF POLYP 3 TOP - 2014-07-10 12.43.57.ndpi"	""	""	"A36 CP S3.jpg"	""	""	"Data transformation"	""	"A36 CP S3-profile.imzML"	"A36 CP S3-centroid.imzML"	"Metabolite identification"	""	""
"A36 CT S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A36 CT S10"	"A36 CT S10-profile.ibd"	"A36 CT S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A36CT - 2012-08-07 09.54.02.ndpi"	""	""	"A36 centre S10 85um.jpg"	""	""	"Data transformation"	""	"A36 CT S10-profile.imzML"	"A36 CT S10-centroid.imzML"	"Metabolite identification"	""	""
"A37 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A37 10cm S4"	"A37 10cm S4-profile.ibd"	"A37 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A37 10cm - 2013-07-17 16.18.18.ndpi"	""	""	"A37 10cm S4 2.jpg"	""	""	"Data transformation"	""	"A37 10cm S4-profile.imzML"	"A37 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A37 5cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A37 5cm S3"	"A37 5cm S3-profile.ibd"	"A37 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A37 5CM 3 TOP - 2014-08-13 17.26.00.ndpi"	""	""	"A37 5cm S3.jpg"	""	""	"Data transformation"	""	"A37 5cm S3-profile.imzML"	"A37 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A37 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A37 CT S2"	"A37 CT S2-profile.ibd"	"A37 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A37C2 - 2012-08-06 18.20.21_wrong section.ndpi"	""	""	"A37 CT S2.jpg"	""	""	"Data transformation"	""	"A37 CT S2-profile.imzML"	"A37 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A37 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A37 CT S3"	"A37 CT S3-profile.ibd"	"A37 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A37 CENTRE 3 TOP - 2014-08-13 17.01.24.ndpi"	""	""	"A37 CT S3.jpg"	""	""	"Data transformation"	""	"A37 CT S3-profile.imzML"	"A37 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A38 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A38 10cm S4"	"A38 10cm S4-profile.ibd"	"A38 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A38 10CM 4 - 2014-07-10 12.00.28.ndpi"	""	""	"A38 10cm S4-2.jpg"	""	""	"Data transformation"	""	"A38 10cm S4-profile.imzML"	"A38 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A38 10cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A38 10cm S5"	"A38 10cm S5-profile.ibd"	"A38 10cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A38 10CM 5 - 2014-07-10 11.56.31.ndpi"	""	""	"A38 10cm S5.jpg"	""	""	"Data transformation"	""	"A38 10cm S5-profile.imzML"	"A38 10cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A38 5cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A38 5cm S4"	"A38 5cm S4-profile.ibd"	"A38 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A38 5CM 4 TOP - 2014-08-13 17.14.30.ndpi"	""	""	"A38 5cm S4.jpg"	""	""	"Data transformation"	""	"A38 5cm S4-profile.imzML"	"A38 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A38 CT S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A38 CT S10"	"A38 CT S10-profile.ibd"	"A38 CT S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A38 (CT) - 2013-07-17 15.59.16.ndpi"	""	""	"A38 CT S10.JPG"	""	""	"Data transformation"	""	"A38 CT S10-profile.imzML"	"A38 CT S10-centroid.imzML"	"Metabolite identification"	""	""
"A38 jcn S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A38 jcn S10"	"A38 jcn S10-profile.ibd"	"A38 jcn S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A38JC - 2012-08-07 09.47.54.ndpi"	""	""	"A38 junction S10.jpg"	""	""	"Data transformation"	""	"A38 jcn S10-profile.imzML"	"A38 jcn S10-centroid.imzML"	"Metabolite identification"	""	""
"A39 10cm S7"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A39 10cm S7"	"A39 10cm S7-profile.ibd"	"A39 10cm S7-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A39 10cm - 2013-07-17 12.13.02.ndpi"	""	""	"A39 10cm S7.jpg"	""	""	"Data transformation"	""	"A39 10cm S7-profile.imzML"	"A39 10cm S7-centroid.imzML"	"Metabolite identification"	""	""
"A39 10cm S8"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A39 10cm S8"	"A39 10cm S8-profile.ibd"	"A39 10cm S8-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A39 10cm s8 - 2013-07-17 12.19.50.ndpi"	""	""	"A39 10cm S8.jpg"	""	""	"Data transformation"	""	"A39 10cm S8-profile.imzML"	"A39 10cm S8-centroid.imzML"	"Metabolite identification"	""	""
"A39 Centre S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A39 Centre S5"	"A39 Centre S5-profile.ibd"	"A39 Centre S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A39 CENTRE (5) - 2014-05-27 16.47.59.ndpi"	""	""	"A39 CT S5.jpg"	""	""	"Data transformation"	""	"A39 Centre S5-profile.imzML"	"A39 Centre S5-centroid.imzML"	"Metabolite identification"	""	""
