"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"
"DHA-PRO6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA-PRO6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"PCA10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA9-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA9-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO10-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO10-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO4-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO4-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO5-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO5-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO6-24h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO6-24h-MET"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"C10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"DHA+PCA10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PCA9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PCA9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PCA"	""	""
"DHA+PRO10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA+PRO9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA+PRO9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA + PRO"	""	""
"DHA10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"PCA10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PCA9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PCA9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PCA"	""	""
"PRO10-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO10-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO4_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO4_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO5_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO5_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO6_24h_CL"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO6_24h_CL"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
"PRO9-24h-CLO"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"PRO9-24h-CLO"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"PRO"	""	""
