Sample Name	Comment[Duplicate samples yes or no]	Comment[technology type]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Protocol REF	Comment[Haplotype reconstruction]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[haplotype dosage]	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URL]	Comment[HS.hdf5]
Outbred1457	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping307	W9G_RAT_20jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.39.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1458	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping308	W9H_RAT_20jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.39.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1459	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping309	W9I_RAT_20jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.39.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred146	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping310	V91_RAT_28jul10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.39.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1460	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping311	RATDIV_BA_1460_C11Plate31.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.39.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred147	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping312	V92_RAT_02aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1470	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping313	RATDIV_BA_1470_C12Plate31.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1472	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping314	W9V_RAT_19jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1474	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping315	W9X_RAT_19jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred148	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping316	V93_RAT_02aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1482	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping317	WA5_RAT_20jan11.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1483	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping318	RATDIV_BA_1483_C12P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1484	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping319	RATDIV_BA_1484_B12P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.40.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1486	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping320	RATDIV_BA_1486_A12P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1487	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping321	RATDIV_BA_1487_D11P5_2.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1489	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping322	RATDIV_BA_1489_C11P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred149	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping323	V94_RAT_25aug10.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1490	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping324	RATDIV_BA_1490_B11P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1491	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping325	RATDIV_BA_1491_A11P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1492	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping326	RATDIV_BA_1492_D10P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1494	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping327	RATDIV_BA_1494_C10P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.41.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
Outbred1495	no	Affymetrix RATDIV SNP array	DNA extraction and genotyping	Genotyping328	RATDIV_BA_1495_B10P5.CEL	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.raw.42.zip	Genotype calling	E-MTAB-2332.processed.1.zip	ArrayExpress	E-MTAB-2332	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2332/E-MTAB-2332.processed.1.zip	Selection of a subset of high quality SNPs for haplotype reconstruction	markers_selected_for_Rn50.txt	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	Haplotype reconstruction in the outbred rats	Haplotype reconstruction with HAPPY	haplotype_dosages_Rnor50.tar.gz	figshare	http://dx.doi.org/10.6084/m9.figshare.943485_D6	Correspondence with IDs used elsewhere in this study can be found in Table 6	HS.hdf5	ArrayExpress	E-MTAB-2332	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2332/files/	this data resource also contains genotype information imputed from haplotype_dosages.Rnor50.tar.gz and merge_factors.Rdata using the Rn50 R. norvegicus assembly
