"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Bmal-20"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-20(2)"	"Bmal-20 technical replicate 2"	""	""	"Sai_KD_June_15_15_209.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-21"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-21"	"Bmal-21 technical replicate 1"	""	""	"Sai_KD_June_15_15_115.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-21"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-21(2)"	"Bmal-21 technical replicate 2"	""	""	"Sai_KD_June_15_15_188.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-22"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-22"	"Bmal-22 technical replicate 1"	""	""	"Sai_KD_June_15_15_063.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-22"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-22(2)"	"Bmal-22 technical replicate 2"	""	""	"Sai_KD_June_15_15_170.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-23"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-23"	"Bmal-23 technical replicate 1"	""	""	"Sai_KD_June_15_15_153.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-23"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-23(2)"	"Bmal-23 technical replicate 2"	""	""	"Sai_KD_June_15_15_248.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-24"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-24"	"Bmal-24 technical replicate 1"	""	""	"Sai_KD_June_15_15_149.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Bmal-24"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Bmal-24(2)"	"Bmal-24 technical replicate 2"	""	""	"Sai_KD_June_15_15_293.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-0"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-0"	"Cry1-0 technical replicate 1"	""	""	"Sai_KD_June_15_15_088.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-0"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-0(2)"	"Cry1-0 technical replicate 2"	""	""	"Sai_KD_June_15_15_237.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-1"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-1"	"Cry1-1 technical replicate 1"	""	""	"Sai_KD_June_15_15_138.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-1"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-1(2)"	"Cry1-1 technical replicate 2"	""	""	"Sai_KD_June_15_15_163.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-2"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-2"	"Cry1-2 technical replicate 1"	""	""	"Sai_KD_June_15_15_017.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-2"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-2(2)"	"Cry1-2 technical replicate 2"	""	""	"Sai_KD_June_15_15_270.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-3"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-3"	"Cry1-3 technical replicate 1"	""	""	"Sai_KD_June_15_15_073.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-3"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-3(2)"	"Cry1-3 technical replicate 2"	""	""	"Sai_KD_June_15_15_231.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-4"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-4"	"Cry1-4 technical replicate 1"	""	""	"Sai_KD_June_15_15_145.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-4"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-4(2)"	"Cry1-4 technical replicate 2"	""	""	"Sai_KD_June_15_15_254.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-5"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-5"	"Cry1-5 technical replicate 1"	""	""	"Sai_KD_June_15_15_019.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-5"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-5(2)"	"Cry1-5 technical replicate 2"	""	""	"Sai_KD_June_15_15_252.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-6"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-6"	"Cry1-6 technical replicate 1"	""	""	"Sai_KD_June_15_15_100.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-6"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-6(2)"	"Cry1-6 technical replicate 2"	""	""	"Sai_KD_June_15_15_246.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-7"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-7"	"Cry1-7 technical replicate 1"	""	""	"Sai_KD_June_15_15_020.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-7"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-7(2)"	"Cry1-7 technical replicate 2"	""	""	"Sai_KD_June_15_15_192.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-8"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-8"	"Cry1-8 technical replicate 1"	""	""	"Sai_KD_June_15_15_028.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-8"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-8(2)"	"Cry1-8 technical replicate 2"	""	""	"Sai_KD_June_15_15_276.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-9"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-9"	"Cry1-9 technical replicate 1"	""	""	"Sai_KD_June_15_15_139.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-9"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-9(2)"	"Cry1-9 technical replicate 2"	""	""	"Sai_KD_June_15_15_240.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-10"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-10"	"Cry1-10 technical replicate 1"	""	""	"Sai_KD_June_15_15_023.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-10"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-10(2)"	"Cry1-10 technical replicate 2"	""	""	"Sai_KD_June_15_15_234.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-11"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-11"	"Cry1-11 technical replicate 1"	""	""	"Sai_KD_June_15_15_085.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-11"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-11(2)"	"Cry1-11 technical replicate 2"	""	""	"Sai_KD_June_15_15_259.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-12"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-12"	"Cry1-12 technical replicate 1"	""	""	"Sai_KD_June_15_15_097.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-12"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-12(2)"	"Cry1-12 technical replicate 2"	""	""	"Sai_KD_June_15_15_178.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-13"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-13"	"Cry1-13 technical replicate 1"	""	""	"Sai_KD_June_15_15_152.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-13"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-13(2)"	"Cry1-13 technical replicate 2"	""	""	"Sai_KD_June_15_15_160.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-14"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-14"	"Cry1-14 technical replicate 1"	""	""	"Sai_KD_June_15_15_065.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-14"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-14(2)"	"Cry1-14 technical replicate 2"	""	""	"Sai_KD_June_15_15_203.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-15"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-15"	"Cry1-15 technical replicate 1"	""	""	"Sai_KD_June_15_15_094.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-15"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-15(2)"	"Cry1-15 technical replicate 2"	""	""	"Sai_KD_June_15_15_181.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Cry1-16"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"XBridge BEH Amide XP (2.5 μm, 2.1 mm x 100 mm; Waters)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	""	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Cry1-16"	"Cry1-16 technical replicate 1"	""	""	"Sai_KD_June_15_15_113.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_u2os_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
