"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Euglena strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Colour]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Anoxia incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Carbonate addition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Culture days before anoxia incubation]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"130612_EG_0h-2"	"wild type (Z strain)"	""	""	"Green"	""	""	"28"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"130612_EG_NaHCO3_10 mM-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"28"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Present"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/52101004"	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"130612_EG_NaHCO3_1 mM-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"28"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Present"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/52101004"	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"130612_EG_S 24h-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"28"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"130612_EG_0h-3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 1"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 2"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 3"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 4"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 5"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 6"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 7"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 8"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 9"	"wild type (Z strain)"	""	""	"Green"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 10"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 11"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 12"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 13"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 14"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 15"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 16"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 17"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Algae cell pellet"	"Euglena gracilis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3039"	"Euglena gracilis strain Z"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"140422_W 18"	"wild type (Z strain)"	""	""	"Orange"	""	""	"27"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C12"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C14"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C16"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C18-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C18-1"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C18-2"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C20-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C12_C22-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C12"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C14"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C16"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C18-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C18-1"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C18-2"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C20-0_2"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C14_C22-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C12"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C14"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C16"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C18-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C18-1"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C18-2"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C20-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C16_C22-0"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Standard wax ester"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"wax ester"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_10036"	"Sample collection"	"C18_C12"	"Standard wax ester"	""	""	"NA"	""	""	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"none"	""	""	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
