Source Name	Characteristics [Organism]	Characteristics [StrainOrLine]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [StrainOrLine]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
D9	Salmonella enterica	Typhimurium DT104 20031643	P-TABM-2569	P-MEXP-9324	20031643	P-TABM-2568	20031643	genomic_DNA	P-MEXP-9327	20031643_Cy3	Cy3	DNA	P-MEXP-9338	array27	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20031643	array27	D9_R_2006-03-21_B1619_0018.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D2	Salmonella enterica	Typhimurium DT104 20042480	P-TABM-2569	P-MEXP-9324	20042480	P-TABM-2568	20042480	genomic_DNA	P-MEXP-9327	20042480_Cy5	Cy5	DNA	P-MEXP-9338	array4	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20042480	array4	D2_F_2006-03-15_B1622_0005.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array4	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array4	D2_F_2006-03-15_B1622_0005.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D9	Salmonella enterica	Typhimurium DT104 20031643	P-TABM-2569	P-MEXP-9324	20031643	P-TABM-2568	20031643	genomic_DNA	P-MEXP-9327	20031643_Cy5	Cy5	DNA	P-MEXP-9338	array25	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20031643	array25	D9_F_2006-03-21_B1622_0016.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array25	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array25	D9_F_2006-03-21_B1622_0016.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D10	Salmonella enterica	Typhimurium DT104 20040876	P-TABM-2569	P-MEXP-9324	20040876	P-TABM-2568	20040876	genomic_DNA	P-MEXP-9327	20040876_Cy5	Cy5	DNA	P-MEXP-9338	array28	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20040876	array28	D10_F_2006-03-21_B1622_0029.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array28	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array28	D10_F_2006-03-21_B1622_0029.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array34	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array34	D12_F_2006-03-21_B1622_0011.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D12	Salmonella enterica	Typhimurium DT104 20042415	P-TABM-2569	P-MEXP-9324	20042415	P-TABM-2568	20042415	genomic_DNA	P-MEXP-9327	20042415_Cy5	Cy5	DNA	P-MEXP-9338	array34	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20042415	array34	D12_F_2006-03-21_B1622_0011.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D4	Salmonella enterica	Typhimurium DT104 20041745	P-TABM-2569	P-MEXP-9324	20041745	P-TABM-2568	20041745	genomic_DNA	P-MEXP-9327	20041745_Cy5	Cy5	DNA	P-MEXP-9338	array11	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20041745	array11	D4_F_2006-03-15_B1622_0042.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array11	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array11	D4_F_2006-03-15_B1622_0042.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D7	Salmonella enterica	Typhimurium DT104 20051949	P-TABM-2569	P-MEXP-9324	20051949	P-TABM-2568	20051949	genomic_DNA	P-MEXP-9327	20051949_Cy5	Cy5	DNA	P-MEXP-9338	array19	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20051949	array19	D7_F_2006-03-15_B1622_0025.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array19	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array19	D7_F_2006-03-15_B1622_0025.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array5	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array5	D2_F_2006-03-15_B1622_0037.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D2	Salmonella enterica	Typhimurium DT104 20042480	P-TABM-2569	P-MEXP-9324	20042480	P-TABM-2568	20042480	genomic_DNA	P-MEXP-9327	20042480_Cy5	Cy5	DNA	P-MEXP-9338	array5	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20042480	array5	D2_F_2006-03-15_B1622_0037.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array16	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array16	D6_F_2006-03-21_B1622_0013.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D6	Salmonella enterica	Typhimurium DT104 20030029	P-TABM-2569	P-MEXP-9324	20030029	P-TABM-2568	20030029	genomic_DNA	P-MEXP-9327	20030029_Cy5	Cy5	DNA	P-MEXP-9338	array16	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030029	array16	D6_F_2006-03-21_B1622_0013.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D8	Salmonella enterica	Typhimurium DT104 20030323	P-TABM-2569	P-MEXP-9324	20030323	P-TABM-2568	20030323	genomic_DNA	P-MEXP-9327	20030323_Cy5	Cy5	DNA	P-MEXP-9338	array22	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030323	array22	D8_F_2006-03-15_B1622_0024.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array22	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array22	D8_F_2006-03-15_B1622_0024.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
D6	Salmonella enterica	Typhimurium DT104 20030029	P-TABM-2569	P-MEXP-9324	20030029	P-TABM-2568	20030029	genomic_DNA	P-MEXP-9327	20030029_Cy5	Cy5	DNA	P-MEXP-9338	array17	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 20030029	array17	D6_F_2006-03-21_B1622_0028.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
DT104(ref)	Salmonella enterica	Typhimurium DT104 P247529	P-TABM-2569	P-MEXP-9324	P247529	P-TABM-2568	P247529	genomic_DNA	P-MEXP-9327	P247529_Cy3	Cy3	DNA	P-MEXP-9338	array17	A-SGRP-4	P-MEXP-9358	Typhimurium DT104 P247529	array17	D6_F_2006-03-21_B1622_0028.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-20/E-MTAB-20.raw.1.zip
