MS_METABOLITE_DATA_START	
Samples	01_UK49	02_UK49	03_UK49	04_UK49	31_UK49	32_UK49	33_UK49	34_UK49	
UDP-N-acetyl-alpha-D-galactosamine-13C0[-H+]-	20464525.75	22082926.81	38075488.88	31892361.08	557900.40	1232330.99	384317.82	538049.73	
UDP-N-acetyl-alpha-D-galactosamine-13C1[-H+]-									
UDP-N-acetyl-alpha-D-galactosamine-13C10[-H+]-	151138.36	142499.71	172422.59	259623.95	5752.27	25098.21		4808.79	
UDP-N-acetyl-alpha-D-galactosamine-13C11[-H+]-	1256404.95	1451721.89	1674239.85	2047765.40	144540.35	456366.79	149235.61	149423.04	
UDP-N-acetyl-alpha-D-galactosamine-13C12[-H+]-	279119.09	277012.71	282692.63	363720.24	8749.82	43186.56	7213.06	5841.66	
UDP-N-acetyl-alpha-D-galactosamine-13C13[-H+]-	1096783.72	1063358.38	1021757.78	1585861.45	34132.20	62909.52	8322.28	15710.12	
UDP-N-acetyl-alpha-D-galactosamine-13C14[-H+]-	455272.98	362837.77	382477.68	530973.91	5401.12	12296.28			
UDP-N-acetyl-alpha-D-galactosamine-13C15[-H+]-	297532.40	240065.79	214969.42	372574.86					
UDP-N-acetyl-alpha-D-galactosamine-13C16[-H+]-	205541.06	148449.96	132512.07	230257.69					
UDP-N-acetyl-alpha-D-galactosamine-13C2[-H+]-	304219.74	231696.74	344310.56	691053.09		4498.91			
UDP-N-acetyl-alpha-D-galactosamine-13C3[-H+]-	147690.65	124565.69	202673.46	306043.36					
UDP-N-acetyl-alpha-D-galactosamine-13C4[-H+]-	103746.02	101558.13	167569.62	178116.92		15021.97			
UDP-N-acetyl-alpha-D-galactosamine-13C5[-H+]-	1646249.06	2166940.39	2786402.33	3142046.34	91878.71	305664.81	96236.24	113954.78	
UDP-N-acetyl-alpha-D-galactosamine-13C6[-H+]-	19210349.78	23037422.78	41343397.73	42225008.84	2702639.84	7022897.05	1881329.23	2204820.04	
UDP-N-acetyl-alpha-D-galactosamine-13C7[-H+]-	303974.96	283211.24	839938.22	816731.94					
UDP-N-acetyl-alpha-D-galactosamine-13C8[-H+]-	7389246.96	9064213.46	16983914.24	19791379.29	82376.36	92346.21	51006.07	60269.38	
UDP-N-acetyl-alpha-D-galactosamine-13C9[-H+]-						10765.94	2163.58	2101.54	
UMP-13C0[-H+]-	122976098.37	127707176.08	155886388.49	160664515.36	25553324.44	31110535.48	18557777.04	6383196.16	
UMP-13C1[-H+]-				303080.50		221238.32			
UMP-13C2[-H+]-		15206.92							
UMP-13C3[-H+]-	324718.14	318479.41	272746.08	403944.75	31150.53	78967.75	36976.66	6676.38	
UMP-13C4[-H+]-	659254.66	547686.78	367340.68	523061.71	41323.19	94421.47	41383.39	7440.55	
UMP-13C5[-H+]-	16174796.05	15206790.25	10539863.25	12794487.98	2628547.84	5544465.12	2629818.79	654660.78	
UMP-13C6[-H+]-	4162382.43	2962410.85	2169115.04	2618161.41	153317.55	302247.45	58832.44	7113.58	
UMP-13C7[-H+]-	5766291.52	4662042.66	3184070.44	4060789.50	232350.24	277849.82	112199.61	24724.33	
UMP-13C8[-H+]-	4028834.05	2798611.28	1945372.29	2728127.95	77217.62	4102.66	30541.76	8227.13	
UMP-13C9[-H+]-									
Uracil-13C0[-H+]-	4922470.99	4758759.06	4199105.01	4149768.36	370374.55	909307.26	633299.76	45549.89	
Uracil-13C1[-H+]-									
Uracil-13C2[-H+]-	6518.38	7334.51		1715.92					
Uracil-13C3[-H+]-				5550.05					
Uric acid-13C0[-H+]-	11841979.06	3852883.65	11630780.04	12314204.83	439053.66	1388701.67	392767.12	256915.70	
Uric acid-13C1[-H+]-									
Uridine diphosphate-N-acetylglucosamine-13C0[-H+]-	3661626.12	3795272.97	10260233.82	7891070.12	167891.16	323910.44	137501.63	202446.64	
Uridine diphosphate-N-acetylglucosamine-13C1[-H+]-									
Uridine diphosphate-N-acetylglucosamine-13C10[-H+]-			45097.50	56575.58		10759.40			
Uridine diphosphate-N-acetylglucosamine-13C11[-H+]-	229327.14	216562.15	404676.51	414610.32	46201.55	109557.13	49577.66	53387.57	
Uridine diphosphate-N-acetylglucosamine-13C12[-H+]-	51251.51	23731.09	76592.24	112978.77					
Uridine diphosphate-N-acetylglucosamine-13C13[-H+]-	219207.79	180177.08	274154.42	346557.07	4402.12				
Uridine diphosphate-N-acetylglucosamine-13C14[-H+]-	113797.76	69953.83	102358.51	116315.43					
Uridine diphosphate-N-acetylglucosamine-13C15[-H+]-	40918.13	35413.77	60177.45	87041.88					
Uridine diphosphate-N-acetylglucosamine-13C16[-H+]-	11188.94		41616.20	63576.24					
Uridine diphosphate-N-acetylglucosamine-13C2[-H+]-	27849.48	37378.51	128117.34	188320.73					
Uridine diphosphate-N-acetylglucosamine-13C3[-H+]-	26779.30	17126.40	68808.34	57100.37					
Uridine diphosphate-N-acetylglucosamine-13C4[-H+]-	15980.90		56847.65	31607.41					
Uridine diphosphate-N-acetylglucosamine-13C5[-H+]-	326145.48	378009.77	601271.37	722918.01	24141.19	73098.10	33573.82	35520.68	
Uridine diphosphate-N-acetylglucosamine-13C6[-H+]-	3839906.09	4448246.74	11902837.81	8983376.84	654092.87	1639470.85	636695.23	745971.10	
Uridine diphosphate-N-acetylglucosamine-13C7[-H+]-									
Uridine diphosphate-N-acetylglucosamine-13C8[-H+]-	1094714.42	1466075.76	3606977.96	4626121.49	30630.91	29272.31	15238.16	17496.78	
Uridine diphosphate-N-acetylglucosamine-13C9[-H+]-									
UTP-13C0[-H+]-	262699.93	516775.74	4927754.21	4390431.84	23161.67	26699.34	19591.68	29047.35	
UTP-13C1[-H+]-									
UTP-13C2[-H+]-									
UTP-13C4[-H+]-				6381.62					
UTP-13C5[-H+]-	20489.26	31444.91	188634.82	168924.58					
UTP-13C6[-H+]-	6538.24	6644.53	35635.71	33811.77					
UTP-13C7[-H+]-	10047.21		51739.72	57709.58					
UTP-13C8[-H+]-			30039.36						
XMP-13C0[-H+]-	100047.89	61726.70	132030.49	129463.64	26908.28	143713.62	66195.81	20094.22	
XMP-13C1[-H+]-									
XMP-13C3[-H+]-			3642.85	2597.36					
METABOLITES_START	
metabolite_name	assignment%method	compound	corrected_mz	formula	isotopologue	isotopologue%type	retention_time(min)	
(S)-Methylmalonic-13C0[-H+]-	directly to standard	(S)-Methylmalonic	101.02442	C4H6O3	13C0	13C	2.57	
(S)-Methylmalonic-13C3[-H+]-	indirectly to standard	(S)-Methylmalonic	104.03448	C4H6O3	13C3	13C	2.57	
(S)-Methylmalonic-13C4[-H+]-	indirectly to standard	(S)-Methylmalonic	105.03784	C4H6O3	13C4	13C	2.57	
13BPG-13C0[-H+]-	directly to standard	13BPG	264.95199	C3H8O10P2	13C0	13C	36.19	
13BPG-13C2[-H+]-	indirectly to standard	13BPG	266.9587	C3H8O10P2	13C2	13C	36.19	
13BPG-13C3[-H+]-	indirectly to standard	13BPG	267.96205	C3H8O10P2	13C3	13C	36.19	
1-Pyrroline-2-carboxylic-13C3[-H+]-	indirectly to standard	1-Pyrroline-2-carboxylic	115.05046	C5H7N1O2	13C3	13C	20.35	
2HG-13C0[-H+]-	database	2HG	147.0299	C5H8O5	13C0	13C	16.11	
2HG-13C1[-H+]-	database	2HG	148.03325	C5H8O5	13C1	13C	16.11	
2HG-13C2[-H+]-	database	2HG	149.03661	C5H8O5	13C2	13C	16.11	
2HG-13C3[-H+]-	database	2HG	150.03996	C5H8O5	13C3	13C	16.11	
2HG-13C4[-H+]-	database	2HG	151.04332	C5H8O5	13C4	13C	16.11	
2HG-13C5[-H+]-	database	2HG	152.04667	C5H8O5	13C5	13C	16.11	
3PG-13C0[-H+]-	directly to standard	3PG	184.98566	C3H7O7P	13C0	13C	26.76	
3PG-13C1[-H+]-	indirectly to standard	3PG	185.98901	C3H7O7P	13C1	13C	26.76	
3PG-13C2[-H+]-	indirectly to standard	3PG	186.99237	C3H7O7P	13C2	13C	26.78	
3PG-13C3[-H+]-	indirectly to standard	3PG	187.99572	C3H7O7P	13C3	13C	26.71	
ADP-13C0[-H+]-	directly to standard	ADP	426.02214	C10H15N5O10P2	13C0	13C	32.76	
ADP-13C1[-H+]-	indirectly to standard	ADP	427.02549	C10H15N5O10P2	13C1	13C	32.74	
ADP-13C2[-H+]-	indirectly to standard	ADP	428.02885	C10H15N5O10P2	13C2	13C	32.76	
ADP-13C3[-H+]-	indirectly to standard	ADP	429.0322	C10H15N5O10P2	13C3	13C	32.72	
ADP-13C4[-H+]-	indirectly to standard	ADP	430.03556	C10H15N5O10P2	13C4	13C	32.76	
ADP-13C5[-H+]-	indirectly to standard	ADP	431.03891	C10H15N5O10P2	13C5	13C	32.76	
ADP-13C6[-H+]-	indirectly to standard	ADP	432.04227	C10H15N5O10P2	13C6	13C	32.76	
aKG-13C0[-H+]-	directly to standard	aKG	145.01425	C5H6O5	13C0	13C	19.22	
aKG-13C1[-H+]-	indirectly to standard	aKG	146.0176	C5H6O5	13C1	13C	19.22	
aKG-13C2[-H+]-	indirectly to standard	aKG	147.02096	C5H6O5	13C2	13C	19.22	
aKG-13C3[-H+]-	indirectly to standard	aKG	148.02431	C5H6O5	13C3	13C	19.22	
aKG-13C4[-H+]-	indirectly to standard	aKG	149.02767	C5H6O5	13C4	13C	19.22	
aKG-13C5[-H+]-	indirectly to standard	aKG	150.03102	C5H6O5	13C5	13C	19.22	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C0[-H+]-	directly to standard	Aminofructose 6-phosphate/Glucosamine 6-phosphate	258.03843	C6H14N1O8P	13C0	13C	13.44	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C1[-H+]-	indirectly to standard	Aminofructose 6-phosphate/Glucosamine 6-phosphate	259.04178	C6H14N1O8P	13C1	13C	13.44	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C2[-H+]-	indirectly to standard	Aminofructose 6-phosphate/Glucosamine 6-phosphate	260.04514	C6H14N1O8P	13C2	13C	13.52	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C3[-H+]-	indirectly to standard	Aminofructose 6-phosphate/Glucosamine 6-phosphate	261.04849	C6H14N1O8P	13C3	13C	13.44	
Aminofructose 6-phosphate/Glucosamine 6-phosphate-13C4[-H+]-	indirectly to standard	Aminofructose 6-phosphate/Glucosamine 6-phosphate	262.05185	C6H14N1O8P	13C4	13C	13.39	
AMP-13C0[-H+]-	directly to standard	AMP	346.05581	C10H14N5O7P	13C0	13C	21.1	
AMP-13C1[-H+]-	indirectly to standard	AMP	347.05916	C10H14N5O7P	13C1	13C	21.1	
AMP-13C2[-H+]-	indirectly to standard	AMP	348.06252	C10H14N5O7P	13C2	13C	21.1	
AMP-13C3[-H+]-	indirectly to standard	AMP	349.06587	C10H14N5O7P	13C3	13C	21.1	
AMP-13C4[-H+]-	indirectly to standard	AMP	350.06923	C10H14N5O7P	13C4	13C	21.1	
AMP-13C5[-H+]-	indirectly to standard	AMP	351.07258	C10H14N5O7P	13C5	13C	21.1	
AMP-13C6[-H+]-	indirectly to standard	AMP	352.07594	C10H14N5O7P	13C6	13C	21.1	
ATP-13C0[-H+]-	directly to standard	ATP	505.98847	C10H16N5O13P3	13C0	13C	37.81	
ATP-13C1[-H+]-	indirectly to standard	ATP	506.99182	C10H16N5O13P3	13C1	13C	37.81	
ATP-13C2[-H+]-	indirectly to standard	ATP	507.99518	C10H16N5O13P3	13C2	13C	37.81	
ATP-13C3[-H+]-	indirectly to standard	ATP	508.99853	C10H16N5O13P3	13C3	13C	37.81	
ATP-13C4[-H+]-	indirectly to standard	ATP	510.00189	C10H16N5O13P3	13C4	13C	37.81	
ATP-13C5[-H+]-	indirectly to standard	ATP	511.00524	C10H16N5O13P3	13C5	13C	37.83	
ATP-13C6[-H+]-	indirectly to standard	ATP	512.0086	C10H16N5O13P3	13C6	13C	37.83	
ATP-13C7[-H+]-	indirectly to standard	ATP	513.01195	C10H16N5O13P3	13C7	13C	37.83	
CDP-13C0[-H+]-	directly to standard	CDP	402.0109	C9H15N3O11P2	13C0	13C	28.23	
CDP-13C0[-H+]-	directly to standard	CDP	402.0109	C9H15N3O11P2	13C0	13C	16.32	
CDP-13C1[-H+]-	indirectly to standard	CDP	403.01425	C9H15N3O11P2	13C1	13C	28.23	
CDP-13C1[-H+]-	indirectly to standard	CDP	403.01425	C9H15N3O11P2	13C1	13C	28.16	
CDP-13C1[-H+]-	indirectly to standard	CDP	403.01425	C9H15N3O11P2	13C1	13C	16.32	
CDP-13C5[-H+]-	indirectly to standard	CDP	407.02767	C9H15N3O11P2	13C5	13C	28.16	
CDP-13C7[-H+]-	indirectly to standard	CDP	409.03438	C9H15N3O11P2	13C7	13C	28.16	
cis-Aconitate-13C0[-H+]-	directly to standard	cis-Aconitate	173.00916	C6H6O6	13C0	13C	35.43	
Citrate-13C0[-H+]-	directly to standard	Citrate	191.01973	C6H8O7	13C0	13C	28.57	
Citrate-13C1[-H+]-	indirectly to standard	Citrate	192.02308	C6H8O7	13C1	13C	28.55	
Citrate-13C2[-H+]-	indirectly to standard	Citrate	193.02644	C6H8O7	13C2	13C	28.57	
Citrate-13C3[-H+]-	indirectly to standard	Citrate	194.02979	C6H8O7	13C3	13C	28.59	
Citrate-13C4[-H+]-	indirectly to standard	Citrate	195.03315	C6H8O7	13C4	13C	28.57	
Citrate-13C5[-H+]-	indirectly to standard	Citrate	196.0365	C6H8O7	13C5	13C	28.55	
Citrate-13C6[-H+]-	indirectly to standard	Citrate	197.03986	C6H8O7	13C6	13C	28.55	
CMP-13C1[-H+]-	indirectly to standard	CMP	323.04792	C9H14N3O8P	13C1	13C	16.32	
CMP-13C2[-H+]-	indirectly to standard	CMP	324.05128	C9H14N3O8P	13C2	13C	16.32	
CMP-13C3[-H+]-	indirectly to standard	CMP	325.05463	C9H14N3O8P	13C3	13C	16.32	
CMP-13C5[-H+]-	indirectly to standard	CMP	327.06134	C9H14N3O8P	13C5	13C	16.32	
CMP-13C6[-H+]-	indirectly to standard	CMP	328.0647	C9H14N3O8P	13C6	13C	16.32	
CMP-13C7[-H+]-	indirectly to standard	CMP	329.06805	C9H14N3O8P	13C7	13C	16.32	
CMP-13C9[-H+]-	indirectly to standard	CMP	331.07476	C9H14N3O8P	13C9	13C	16.32	
CTP-13C0[-H+]-	directly to standard	CTP	481.97723	C9H16N3O14P3	13C0	13C	34.62	
CTP-13C1[-H+]-	indirectly to standard	CTP	482.98058	C9H16N3O14P3	13C1	13C	34.62	
Cyclic AMP-13C0[-H+]-	directly to standard	Cyclic AMP	328.04524	C10H12N5O6P	13C0	13C	19.5	
Cyclic AMP-13C1[-H+]-	indirectly to standard	Cyclic AMP	329.04859	C10H12N5O6P	13C1	13C	19.52	
Cyclic AMP-13C2[-H+]-	indirectly to standard	Cyclic AMP	330.05195	C10H12N5O6P	13C2	13C	19.52	
Cyclic AMP-13C4[-H+]-	indirectly to standard	Cyclic AMP	332.05866	C10H12N5O6P	13C4	13C	19.52	
Cyclic AMP-13C5[-H+]-	indirectly to standard	Cyclic AMP	333.06201	C10H12N5O6P	13C5	13C	19.45	
Cyclic AMP-13C6[-H+]-	indirectly to standard	Cyclic AMP	334.06537	C10H12N5O6P	13C6	13C	19.54	
Deoxycytidine-13C0[-H+]-	directly to standard	Deoxycytidine	226.08333	C9H13N3O4	13C0	13C	30.17	
Deoxycytidine-13C1[-H+]-	indirectly to standard	Deoxycytidine	227.08668	C9H13N3O4	13C1	13C	30.28	
Deoxycytidine-13C2[-H+]-	indirectly to standard	Deoxycytidine	228.09004	C9H13N3O4	13C2	13C	30.28	
Deoxycytidine-13C3[-H+]-	indirectly to standard	Deoxycytidine	229.09339	C9H13N3O4	13C3	13C	30.28	
Deoxycytidine-13C4[-H+]-	indirectly to standard	Deoxycytidine	230.09675	C9H13N3O4	13C4	13C	30.28	
dGDP-13C0[-H+]-	directly to standard	dGDP	426.02214	C10H15N5O10P2	13C0	13C	32.76	
dGDP-13C1[-H+]-	indirectly to standard	dGDP	427.02549	C10H15N5O10P2	13C1	13C	32.74	
dGDP-13C2[-H+]-	indirectly to standard	dGDP	428.02885	C10H15N5O10P2	13C2	13C	32.76	
dGDP-13C3[-H+]-	indirectly to standard	dGDP	429.0322	C10H15N5O10P2	13C3	13C	32.72	
dGDP-13C4[-H+]-	indirectly to standard	dGDP	430.03556	C10H15N5O10P2	13C4	13C	32.76	
dGDP-13C5[-H+]-	indirectly to standard	dGDP	431.03891	C10H15N5O10P2	13C5	13C	32.76	
dGDP-13C6[-H+]-	indirectly to standard	dGDP	432.04227	C10H15N5O10P2	13C6	13C	32.76	
D-Glucuronic-13C0[-H+]-	directly to standard	D-Glucuronic	273.00171	C6H11O10P	13C0	13C	26.48	
D-Glucuronic-13C5[-H+]-	indirectly to standard	D-Glucuronic	278.01848	C6H11O10P	13C5	13C	26.48	
D-Glucuronic-13C6[-H+]-	indirectly to standard	D-Glucuronic	279.02184	C6H11O10P	13C6	13C	26.48	
dGTP-13C0[-H+]-	directly to standard	dGTP	505.98847	C10H16N5O13P3	13C0	13C	37.81	
dGTP-13C1[-H+]-	indirectly to standard	dGTP	506.99182	C10H16N5O13P3	13C1	13C	37.78	
dGTP-13C2[-H+]-	indirectly to standard	dGTP	507.99518	C10H16N5O13P3	13C2	13C	37.78	
dGTP-13C3[-H+]-	indirectly to standard	dGTP	508.99853	C10H16N5O13P3	13C3	13C	37.78	
dGTP-13C4[-H+]-	indirectly to standard	dGTP	510.00189	C10H16N5O13P3	13C4	13C	37.78	
dGTP-13C5[-H+]-	indirectly to standard	dGTP	511.00524	C10H16N5O13P3	13C5	13C	37.83	
dGTP-13C6[-H+]-	indirectly to standard	dGTP	512.0086	C10H16N5O13P3	13C6	13C	37.83	
dGTP-13C7[-H+]-	indirectly to standard	dGTP	513.01195	C10H16N5O13P3	13C7	13C	37.83	
D-Ribose and L-Arabinose-13C0[-H+]-	directly to standard	D-Ribose and L-Arabinose	149.04555	C5H10O5	13C0	13C	2.42	
D-Ribose and L-Arabinose-13C5[-H+]-	indirectly to standard	D-Ribose and L-Arabinose	154.06232	C5H10O5	13C5	13C	2.42	
D-Ribulose-13C0[-H+]-	directly to standard	D-Ribulose	229.01188	C5H11O8P	13C0	13C	20.43	
D-Ribulose-13C1[-H+]-	indirectly to standard	D-Ribulose	230.01523	C5H11O8P	13C1	13C	20.43	
D-Ribulose-13C2[-H+]-	indirectly to standard	D-Ribulose	231.01859	C5H11O8P	13C2	13C	20.43	
D-Ribulose-13C3[-H+]-	indirectly to standard	D-Ribulose	232.02194	C5H11O8P	13C3	13C	20.43	
D-Ribulose-13C4[-H+]-	indirectly to standard	D-Ribulose	233.0253	C5H11O8P	13C4	13C	20.43	
D-Ribulose-13C5[-H+]-	indirectly to standard	D-Ribulose	234.02865	C5H11O8P	13C5	13C	20.43	
dTMP-13C0[-H+]-	directly to standard	dTMP	321.04933	C10H15N2O8P	13C0	13C	28.72	
dUDP-13C0[-H+]-	directly to standard	dUDP	387.00001	C9H14N2O11P2	13C0	13C	30.94	
dUMP-13C0[-H+]-	directly to standard	dUMP	307.03368	C9H13N2O8P	13C0	13C	28.51	
D-Xylose/D-Xylulose-13C0[-H+]-	directly to standard	D-Xylose/D-Xylulose	149.04555	C5H10O5	13C0	13C	2.42	
D-Xylose/D-Xylulose-13C5[-H+]-	indirectly to standard	D-Xylose/D-Xylulose	154.06232	C5H10O5	13C5	13C	2.42	
E4P-13C0[-H+]-	directly to standard	E4P	199.00131	C4H9O7P	13C0	13C	32.8	
E4P-13C4[-H+]-	indirectly to standard	E4P	203.01473	C4H9O7P	13C4	13C	32.8	
Erythrose-13C0[-H+]-	database	Erythrose	119.03498	C4H8O4	13C0	13C	6.79	
Erythrose-13C0[-H+]-	database	Erythrose	119.03498	C4H8O4	13C0	13C	16.32	
Erythrose-13C1[-H+]-	database	Erythrose	120.03833	C4H8O4	13C1	13C	6.79	
Erythrose-13C1[-H+]-	database	Erythrose	120.03833	C4H8O4	13C1	13C	16.32	
Erythrose-13C4[-H+]-	database	Erythrose	123.0484	C4H8O4	13C4	13C	6.84	
F16P-13C0[-H+]-	directly to standard	F16P	338.98877	C6H14O12P2	13C0	13C	34.05	
F16P-13C3[-H+]-	indirectly to standard	F16P	341.99883	C6H14O12P2	13C3	13C	34.05	
F16P-13C4[-H+]-	indirectly to standard	F16P	343.00219	C6H14O12P2	13C4	13C	34.05	
F16P-13C5[-H+]-	indirectly to standard	F16P	344.00554	C6H14O12P2	13C5	13C	34.05	
F16P-13C6[-H+]-	indirectly to standard	F16P	345.0089	C6H14O12P2	13C6	13C	34.05	
F26P-13C0[-H+]-	database	F26P	338.98877	C6H14O12P2	13C0	13C	39.83	
F26P-13C1[-H+]-	database	F26P	339.99212	C6H14O12P2	13C1	13C	39.81	
F6P-13C0[-H+]-	directly to standard	F6P	259.02244	C6H13O9P	13C0	13C	19.35	
F6P-13C0[-H+]-	directly to standard	F6P	259.02244	C6H13O9P	13C0	13C	16.32	
F6P-13C2[-H+]-	indirectly to standard	F6P	261.02915	C6H13O9P	13C2	13C	19.35	
F6P-13C3[-H+]-	indirectly to standard	F6P	262.0325	C6H13O9P	13C3	13C	19.35	
F6P-13C4[-H+]-	indirectly to standard	F6P	263.03586	C6H13O9P	13C4	13C	19.35	
F6P-13C5[-H+]-	indirectly to standard	F6P	264.03921	C6H13O9P	13C5	13C	19.35	
F6P-13C5[-H+]-	indirectly to standard	F6P	264.03921	C6H13O9P	13C5	13C	16.32	
F6P-13C6[-H+]-	indirectly to standard	F6P	265.04257	C6H13O9P	13C6	13C	19.35	
Fumarate-13C0[-H+]-	directly to standard	Fumarate	115.00368	C4H4O4	13C0	13C	20.36	
Fumarate-13C1[-H+]-	indirectly to standard	Fumarate	116.00703	C4H4O4	13C1	13C	20.36	
Fumarate-13C2[-H+]-	indirectly to standard	Fumarate	117.01039	C4H4O4	13C2	13C	20.34	
Fumarate-13C3[-H+]-	indirectly to standard	Fumarate	118.01374	C4H4O4	13C3	13C	20.3	
Fumarate-13C4[-H+]-	indirectly to standard	Fumarate	119.0171	C4H4O4	13C4	13C	20.3	
G1P-13C0[-H+]-	directly to standard	G1P	259.02244	C6H13O9P	13C0	13C	15.2	
G1P-13C5[-H+]-	indirectly to standard	G1P	264.03921	C6H13O9P	13C5	13C	15.15	
G1P-13C6[-H+]-	indirectly to standard	G1P	265.04257	C6H13O9P	13C6	13C	15.15	
G6P-13C0[-H+]-	directly to standard	G6P	259.02244	C6H13O9P	13C0	13C	18.87	
G6P-13C0[-H+]-	directly to standard	G6P	259.02244	C6H13O9P	13C0	13C	16.32	
G6P-13C1[-H+]-	indirectly to standard	G6P	260.02579	C6H13O9P	13C1	13C	18.87	
G6P-13C2[-H+]-	indirectly to standard	G6P	261.02915	C6H13O9P	13C2	13C	18.87	
G6P-13C3[-H+]-	indirectly to standard	G6P	262.0325	C6H13O9P	13C3	13C	18.87	
G6P-13C3[-H+]-	indirectly to standard	G6P	262.0325	C6H13O9P	13C3	13C	16.32	
G6P-13C4[-H+]-	indirectly to standard	G6P	263.03586	C6H13O9P	13C4	13C	18.87	
G6P-13C5[-H+]-	indirectly to standard	G6P	264.03921	C6H13O9P	13C5	13C	18.87	
G6P-13C6[-H+]-	indirectly to standard	G6P	265.04257	C6H13O9P	13C6	13C	18.87	
GalactitolAndSorbitol-13C0[-H+]-	directly to standard	GalactitolAndSorbitol	181.07176	C6H14O6	13C0	13C	2.24	
GalactitolAndSorbitol-13C1[-H+]-	indirectly to standard	GalactitolAndSorbitol	182.07511	C6H14O6	13C1	13C	2.24	
GalactitolAndSorbitol-13C5[-H+]-	indirectly to standard	GalactitolAndSorbitol	186.08853	C6H14O6	13C5	13C	2.24	
GalactitolAndSorbitol-13C6[-H+]-	indirectly to standard	GalactitolAndSorbitol	187.09189	C6H14O6	13C6	13C	2.24	
Galactose 6-phosphate-13C0[-H+]-	directly to standard	Galactose 6-phosphate	259.02244	C6H13O9P	13C0	13C	17.84	
Galactose 6-phosphate-13C3[-H+]-	indirectly to standard	Galactose 6-phosphate	262.0325	C6H13O9P	13C3	13C	17.84	
Galactose 6-phosphate-13C5[-H+]-	indirectly to standard	Galactose 6-phosphate	264.03921	C6H13O9P	13C5	13C	17.77	
Galactose 6-phosphate-13C6[-H+]-	indirectly to standard	Galactose 6-phosphate	265.04257	C6H13O9P	13C6	13C	17.77	
Galacturonic acid/D-Glucuronic acid-13C0[-H+]-	directly to standard	Galacturonic acid/D-Glucuronic acid	193.03538	C6H10O7	13C0	13C	10.78	
Galacturonic acid/D-Glucuronic acid-13C1[-H+]-	indirectly to standard	Galacturonic acid/D-Glucuronic acid	194.03873	C6H10O7	13C1	13C	10.78	
Galacturonic acid/D-Glucuronic acid-13C5[-H+]-	indirectly to standard	Galacturonic acid/D-Glucuronic acid	198.05215	C6H10O7	13C5	13C	10.78	
Galacturonic acid/D-Glucuronic acid-13C6[-H+]-	indirectly to standard	Galacturonic acid/D-Glucuronic acid	199.05551	C6H10O7	13C6	13C	10.73	
GDP-13C0[-H+]-	directly to standard	GDP	442.01705	C10H15N5O11P2	13C0	13C	40.43	
GDP-13C1[-H+]-	indirectly to standard	GDP	443.0204	C10H15N5O11P2	13C1	13C	40.43	
GDP-13C2[-H+]-	indirectly to standard	GDP	444.02376	C10H15N5O11P2	13C2	13C	40.43	
GDP-13C3[-H+]-	indirectly to standard	GDP	445.02711	C10H15N5O11P2	13C3	13C	40.43	
GDP-13C4[-H+]-	indirectly to standard	GDP	446.03047	C10H15N5O11P2	13C4	13C	40.43	
GDP-13C5[-H+]-	indirectly to standard	GDP	447.03382	C10H15N5O11P2	13C5	13C	40.41	
GDP-13C6[-H+]-	indirectly to standard	GDP	448.03718	C10H15N5O11P2	13C6	13C	40.43	
Glyceric acid-13C0[-H+]-	database	Glyceric acid	105.01933	C3H6O4	13C0	13C	26.69	
Glyceric acid-13C3[-H+]-	database	Glyceric acid	108.02939	C3H6O4	13C3	13C	26.71	
GMP-13C0[-H+]-	directly to standard	GMP	362.05072	C10H14N5O8P	13C0	13C	35.35	
GMP-13C1[-H+]-	indirectly to standard	GMP	363.05407	C10H14N5O8P	13C1	13C	35.35	
GMP-13C5[-H+]-	indirectly to standard	GMP	367.06749	C10H14N5O8P	13C5	13C	35.35	
GSH-13C0[-H+]-	directly to standard	GSH	306.07653	C10H17N3O6S	13C0	13C	25.5	
GSH-13C1[-H+]-	indirectly to standard	GSH	307.07988	C10H17N3O6S	13C1	13C	25.48	
GSH-13C2[-H+]-	indirectly to standard	GSH	308.08324	C10H17N3O6S	13C2	13C	25.5	
GSH-13C3[-H+]-	indirectly to standard	GSH	309.08659	C10H17N3O6S	13C3	13C	25.44	
GSH-13C4[-H+]-	indirectly to standard	GSH	310.08995	C10H17N3O6S	13C4	13C	25.44	
GSH-13C5[-H+]-	indirectly to standard	GSH	311.0933	C10H17N3O6S	13C5	13C	25.5	
GSH-13C6[-H+]-	indirectly to standard	GSH	312.09666	C10H17N3O6S	13C6	13C	25.5	
GTP-13C0[-H+]-	directly to standard	GTP	521.98338	C10H16N5O14P3	13C0	13C	44.03	
GTP-13C1[-H+]-	indirectly to standard	GTP	522.98673	C10H16N5O14P3	13C1	13C	44.03	
GTP-13C2[-H+]-	indirectly to standard	GTP	523.99009	C10H16N5O14P3	13C2	13C	44.03	
GTP-13C3[-H+]-	indirectly to standard	GTP	524.99344	C10H16N5O14P3	13C3	13C	44.03	
GTP-13C4[-H+]-	indirectly to standard	GTP	525.9968	C10H16N5O14P3	13C4	13C	44.03	
GTP-13C5[-H+]-	indirectly to standard	GTP	527.00015	C10H16N5O14P3	13C5	13C	44.03	
