"Sample Name"	"Protocol REF"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"QSTD"	"Extraction"	"3"	""	""	"218"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140530_141"	"VT_140530_141.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"3"	""	""	"219"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140530_143"	"VT_140530_143.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"4"	""	""	"220"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_001"	"VT_140531_001.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"4"	""	""	"221"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_003"	"VT_140531_003.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"4"	""	""	"222"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_005"	"VT_140531_005.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182546"	"Extraction"	"4"	""	""	"223"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_007"	"VT_140531_007.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182546"	"Extraction"	"4"	""	""	"224"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_009"	"VT_140531_009.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182546"	"Extraction"	"4"	""	""	"225"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_011"	"VT_140531_011.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995832"	"Extraction"	"4"	""	""	"226"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_013"	"VT_140531_013.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995832"	"Extraction"	"4"	""	""	"227"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_015"	"VT_140531_015.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995832"	"Extraction"	"4"	""	""	"228"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_017"	"VT_140531_017.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998957"	"Extraction"	"4"	""	""	"229"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_019"	"VT_140531_019.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998957"	"Extraction"	"4"	""	""	"230"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_021"	"VT_140531_021.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998957"	"Extraction"	"4"	""	""	"231"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_023"	"VT_140531_023.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999442"	"Extraction"	"4"	""	""	"232"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_025"	"VT_140531_025.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999442"	"Extraction"	"4"	""	""	"233"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_027"	"VT_140531_027.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999442"	"Extraction"	"4"	""	""	"234"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_029"	"VT_140531_029.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975086"	"Extraction"	"4"	""	""	"235"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_031"	"VT_140531_031.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975086"	"Extraction"	"4"	""	""	"236"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_033"	"VT_140531_033.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975086"	"Extraction"	"4"	""	""	"237"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_035"	"VT_140531_035.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981028"	"Extraction"	"4"	""	""	"238"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_037"	"VT_140531_037.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981028"	"Extraction"	"4"	""	""	"239"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_039"	"VT_140531_039.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981028"	"Extraction"	"4"	""	""	"240"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_041"	"VT_140531_041.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023623"	"Extraction"	"4"	""	""	"241"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_043"	"VT_140531_043.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023623"	"Extraction"	"4"	""	""	"242"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_045"	"VT_140531_045.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2023623"	"Extraction"	"4"	""	""	"243"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_047"	"VT_140531_047.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2024645"	"Extraction"	"4"	""	""	"244"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_049"	"VT_140531_049.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2024645"	"Extraction"	"4"	""	""	"245"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_051"	"VT_140531_051.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2024645"	"Extraction"	"4"	""	""	"246"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_053"	"VT_140531_053.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2028718"	"Extraction"	"4"	""	""	"247"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_055"	"VT_140531_055.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2028718"	"Extraction"	"4"	""	""	"248"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_057"	"VT_140531_057.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2028718"	"Extraction"	"4"	""	""	"249"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_059"	"VT_140531_059.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005890"	"Extraction"	"4"	""	""	"250"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_061"	"VT_140531_061.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005890"	"Extraction"	"4"	""	""	"251"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_063"	"VT_140531_063.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005890"	"Extraction"	"4"	""	""	"252"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_065"	"VT_140531_065.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2008333"	"Extraction"	"4"	""	""	"253"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_067"	"VT_140531_067.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2008333"	"Extraction"	"4"	""	""	"254"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_069"	"VT_140531_069.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2008333"	"Extraction"	"4"	""	""	"255"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_071"	"VT_140531_071.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2050222"	"Extraction"	"4"	""	""	"256"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_073"	"VT_140531_073.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2050222"	"Extraction"	"4"	""	""	"257"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_075"	"VT_140531_075.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2050222"	"Extraction"	"4"	""	""	"258"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_077"	"VT_140531_077.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2055189"	"Extraction"	"4"	""	""	"259"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_079"	"VT_140531_079.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2055189"	"Extraction"	"4"	""	""	"260"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_081"	"VT_140531_081.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2055189"	"Extraction"	"4"	""	""	"261"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_083"	"VT_140531_083.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2060797"	"Extraction"	"4"	""	""	"262"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140531_085"	"VT_140531_085.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
