"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Cartridge type]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"60"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_60_neg_GC"	"20150825_60_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"61"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_61_neg_GC"	"20150825_61_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"62"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_62_neg_GC"	"20150825_62_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"63"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_63_neg_GC"	"20150825_63_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"64"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_64_neg_GC"	"20150825_64_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"65"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_65_neg_GC"	"20150825_65_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"66"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_66_neg_GC"	"20150825_66_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"67"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_67_neg_GC"	"20150825_67_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"68"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_68_neg_GC"	"20150825_68_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"69"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_69_neg_GC"	"20150825_69_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"70"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_70_neg_GC"	"20150825_70_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"71"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_71_neg_GC"	"20150825_71_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"72"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_72_neg_GC"	"20150825_72_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"73"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_73_neg_GC"	"20150825_73_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"74"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_74_neg_GC"	"20150825_74_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"75"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_75_neg_GC"	"20150825_75_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"76"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_76_neg_GC"	"20150825_76_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"77"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_77_neg_GC"	"20150825_77_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"78"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_78_neg_GC"	"20150825_78_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"79"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_79_neg_GC"	"20150825_79_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"80"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_80_neg_GC"	"20150825_80_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"81"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_81_neg_GC"	"20150825_81_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"82"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_82_neg_GC"	"20150825_82_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"83"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_83_neg_GC"	"20150825_83_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"84"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_84_neg_GC"	"20150825_84_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"85"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_85_neg_GC"	"20150825_85_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"86"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_86_neg_GC"	"20150825_86_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"87"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_87_neg_GC"	"20150825_87_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"88"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_88_neg_GC"	"20150825_88_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"89"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_89_neg_GC"	"20150825_89_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"90"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_90_neg_GC"	"20150825_90_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"91"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_91_neg_GC"	"20150825_91_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"92"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_92_neg_GC"	"20150825_92_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"93"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_93_neg_GC"	"20150825_93_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"94"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_94_neg_GC"	"20150825_94_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"95"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_95_neg_GC"	"20150825_95_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"96"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_96_neg_GC"	"20150825_96_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"97"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_97_neg_GC"	"20150825_97_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"98"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_98_neg_GC"	"20150825_98_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"99"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_99_neg_GC"	"20150825_99_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
"100"	"Extraction"	"methanol"	""	""	"Chromatography"	"Agilent RapidFire 365"	""	""	""	"graphitic carbon"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Agilent 6560 Ion Mobility QTOF MS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150825_100_neg_GC"	"20150825_100_neg_GC.d"	"Data transformation"	""	""	"Metabolite identification"	""	""
