Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
88	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_88_neg_HL	20150826_88_neg_HL.d	Data transformation			Metabolite identification		
89	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_89_neg_HL	20150826_89_neg_HL.d	Data transformation			Metabolite identification		
90	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_90_neg_HL	20150826_90_neg_HL.d	Data transformation			Metabolite identification		
91	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_91_neg_HL	20150826_91_neg_HL.d	Data transformation			Metabolite identification		
92	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_92_neg_HL	20150826_92_neg_HL.d	Data transformation			Metabolite identification		
93	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_93_neg_HL	20150826_93_neg_HL.d	Data transformation			Metabolite identification		
94	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_94_neg_HL	20150826_94_neg_HL.d	Data transformation			Metabolite identification		
95	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_95_neg_HL	20150826_95_neg_HL.d	Data transformation			Metabolite identification		
96	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_96_neg_HL	20150826_96_neg_HL.d	Data transformation			Metabolite identification		
97	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_97_neg_HL	20150826_97_neg_HL.d	Data transformation			Metabolite identification		
98	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_98_neg_HL	20150826_98_neg_HL.d	Data transformation			Metabolite identification		
99	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_99_neg_HL	20150826_99_neg_HL.d	Data transformation			Metabolite identification		
100	Extraction	methanol			Chromatography	Agilent RapidFire 365				HILIC							Mass spectrometry	negative	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150826_100_neg_HL	20150826_100_neg_HL.d	Data transformation			Metabolite identification		
