"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BRB07W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB07W"	"BRB07W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB07W 4 NEG BOTTOM - 2014-08-13 21.41.52.ndpi"	""	""	"BRB07W.tif"	""	""	"Data transformation"	""	"BRB07W.imzML"	"Metabolite identification"	""	""
"BRB08D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB08D"	"BRB08D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB08D 2 NEG BOTTOM - 2014-08-13 21.58.48.ndpi"	""	""	"BRB08D.tif"	""	""	"Data transformation"	""	"BRB08D.imzML"	"Metabolite identification"	""	""
"BRB08E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB08E"	"BRB08E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB08E 2 NEG TOP - 2014-08-13 21.54.44.ndpi"	""	""	"BRB08E.tif"	""	""	"Data transformation"	""	"BRB08E.imzML"	"Metabolite identification"	""	""
"BRB08N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB08N"	"BRB08N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB08N 7 NEG BOTTOM - 2014-08-13 21.38.16.ndpi"	""	""	"BRB08N.tif"	""	""	"Data transformation"	""	"BRB08N.imzML"	"Metabolite identification"	""	""
"BRB08S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB08S"	"BRB08S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB08S 4 NEG BOTTOM - 2014-08-13 22.01.50.ndpi"	""	""	"BRB08S.tif"	""	""	"Data transformation"	""	"BRB08S.imzML"	"Metabolite identification"	""	""
"BRB08W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB08W"	"BRB08W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB08W 3 NEG BOTTOM - 2014-08-14 00.32.58.ndpi"	""	""	"BRB08W.tif"	""	""	"Data transformation"	""	"BRB08W.imzML"	"Metabolite identification"	""	""
"BRB09C"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09C"	"BRB09C.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB09C 3 NEG TOP - 2014-08-13 22.14.56.ndpi"	""	""	"BRB09C.tif"	""	""	"Data transformation"	""	"BRB09C.imzML"	"Metabolite identification"	""	""
"BRB09D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09D"	"BRB09D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB09D 4 NEG BOTTOM - 2014-08-13 22.21.40.ndpi"	""	""	"BRB09D.tif"	""	""	"Data transformation"	""	"BRB09D.imzML"	"Metabolite identification"	""	""
"BRB09E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09E"	"BRB09E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB09E 5 NEG TOP - 2014-08-13 22.18.20.ndpi"	""	""	"BRB09E.tif"	""	""	"Data transformation"	""	"BRB09E.imzML"	"Metabolite identification"	""	""
"BRB09N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09N"	"BRB09N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB9N 5 NEG TOP - 2014-08-13 22.11.32.ndpi"	""	""	"BRB09N.tif"	""	""	"Data transformation"	""	"BRB09N.imzML"	"Metabolite identification"	""	""
"BRB09S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09S"	"BRB09S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB09S 3 NEG TOP - 2014-08-14 00.46.00.ndpi"	""	""	"BRB09S.tif"	""	""	"Data transformation"	""	"BRB09S.imzML"	"Metabolite identification"	""	""
"BRB09W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB09W"	"BRB09W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB09W 4 NEG MIDDLE - 2014-08-13 22.05.48.ndpi"	""	""	"BRB09W.tif"	""	""	"Data transformation"	""	"BRB09W.imzML"	"Metabolite identification"	""	""
"BRB10D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB10D"	"BRB10D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB10D 5 NEG TOP - 2014-08-14 00.39.00.ndpi"	""	""	"BRB10D.tif"	""	""	"Data transformation"	""	"BRB10D.imzML"	"Metabolite identification"	""	""
"BRB10E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB10E"	"BRB10E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB10E 5 NEG BOTTOM - 2014-08-14 00.36.13.ndpi"	""	""	"BRB10E.tif"	""	""	"Data transformation"	""	"BRB10E.imzML"	"Metabolite identification"	""	""
"BRB10N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB10N"	"BRB10N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB10N 2 NEG BOTTOM - 2014-08-14 00.29.25.ndpi"	""	""	"BRB10N.tif"	""	""	"Data transformation"	""	"BRB10N.imzML"	"Metabolite identification"	""	""
"BRB10S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB10S"	"BRB10S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB10S 7 NEG TOP - 2014-08-14 00.26.03.ndpi"	""	""	"BRB10S.tif"	""	""	"Data transformation"	""	"BRB10S.imzML"	"Metabolite identification"	""	""
"BRB10W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB10W"	"BRB10W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB10W 4 NEG TOP - 2014-08-14 00.42.35.ndpi"	""	""	"BRB10W.tif"	""	""	"Data transformation"	""	"BRB10W.imzML"	"Metabolite identification"	""	""
"BRB11D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB11D"	"BRB11D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB11D 5 NEG BOTTOM - 2014-08-13 23.24.19.ndpi"	""	""	"BRB11D.tif"	""	""	"Data transformation"	""	"BRB11D.imzML"	"Metabolite identification"	""	""
"BRB11E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB11E"	"BRB11E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB11E 5 NEG BOTTOM - 2014-08-14 00.12.25.ndpi"	""	""	"BRB11E.tif"	""	""	"Data transformation"	""	"BRB11E.imzML"	"Metabolite identification"	""	""
"BRB11N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB11N"	"BRB11N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB11N 4 NEG BOTTOM - 2014-08-14 00.19.00.ndpi"	""	""	"BRB11N.tif"	""	""	"Data transformation"	""	"BRB11N.imzML"	"Metabolite identification"	""	""
"BRB11S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB11S"	"BRB11S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB11S 4 NEG BOTTOM - 2014-08-14 00.22.36.ndpi"	""	""	"BRB11S.tif"	""	""	"Data transformation"	""	"BRB11S.imzML"	"Metabolite identification"	""	""
"BRB11W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB11W"	"BRB11W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB11W 1 NEG TOP - 2014-08-14 00.15.55.ndpi"	""	""	"BRB11W.tif"	""	""	"Data transformation"	""	"BRB11W.imzML"	"Metabolite identification"	""	""
"BRB12D"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB12D"	"BRB12D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB12D 3 NEG BOTTOM - 2014-08-14 18.33.11.ndpi"	""	""	"BRB12D.tif"	""	""	"Data transformation"	""	"BRB12D.imzML"	"Metabolite identification"	""	""
"BRB12E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB12E"	"BRB12E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB12E 4 NEG TOP - 2014-08-14 17.45.24.ndpi"	""	""	"BRB12E.tif"	""	""	"Data transformation"	""	"BRB12E.imzML"	"Metabolite identification"	""	""
"BRB12N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB12N"	"BRB12N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB12N 5 NEG BOTTOM - 2014-08-14 17.41.04.ndpi"	""	""	"BRB12N.tif"	""	""	"Data transformation"	""	"BRB12N.imzML"	"Metabolite identification"	""	""
"BRB12S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB12S"	"BRB12S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB12S 4 POS BOTTOM - 2014-08-14 17.27.49.ndpi"	""	""	"BRB12S.tif"	""	""	"Data transformation"	""	"BRB12S.imzML"	"Metabolite identification"	""	""
"BRB12W"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB12W"	"BRB12W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"BRB12W.tif"	""	""	"Data transformation"	""	"BRB12W.imzML"	"Metabolite identification"	""	""
"BRB13D"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB13D"	"BRB13D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB13D 4 NEG BOTTOM - 2014-08-14 17.11.28.ndpi"	""	""	"BRB13D.tif"	""	""	"Data transformation"	""	"BRB13D.imzML"	"Metabolite identification"	""	""
"BRB13E"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB13E"	"BRB13E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB13EZ 4 NEG BOTTOM - 2014-08-14 17.26.09.ndpi"	""	""	"BRB13E.tif"	""	""	"Data transformation"	""	"BRB13E.imzML"	"Metabolite identification"	""	""
