"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Victoria Univeristy.Subject-03.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-031.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-5"	"Victoria_University.Subject-03.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-032.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-5"	"Victoria_University.Subject-04.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-033.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-5"	"Victoria_University.Subject-05.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-034.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-5"	"Victoria_University.Subject-06.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-5"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-035.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-5"	"Victoria_University.Subject-07.bloodplasma-5.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-036.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-6"	"Victoria_University.Subject-01.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-037.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-6"	"Victoria_University.Subject-02.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-03.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-038.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-6"	"Victoria_University.Subject-03.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-039.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-6"	"Victoria_University.Subject-04.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-040.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-6"	"Victoria_University.Subject-05.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-041.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-6"	"Victoria_University.Subject-06.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-6"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-042.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-6"	"Victoria_University.Subject-07.bloodplasma-6.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-043.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-7"	"Victoria_University.Subject-01.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-044.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-7"	"Victoria_University.Subject-02.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-03.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-045.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-7"	"Victoria_University.Subject-03.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-046.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-7"	"Victoria_University.Subject-04.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-047.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-7"	"Victoria_University.Subject-05.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-048.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-7"	"Victoria_University.Subject-06.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-7"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-049.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-7"	"Victoria_University.Subject-07.bloodplasma-7.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-01.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-050.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-01.bloodplasma-8"	"Victoria_University.Subject-01.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-02.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-051.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-02.bloodplasma-8"	"Victoria_University.Subject-02.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-03.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-052.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-03.bloodplasma-8"	"Victoria_University.Subject-03.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-04.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-053.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-04.bloodplasma-8"	"Victoria_University.Subject-04.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-05.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-054.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-05.bloodplasma-8"	"Victoria_University.Subject-05.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-06.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-055.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-06.bloodplasma-8"	"Victoria_University.Subject-06.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
"Victoria Univeristy.Subject-07.bloodplasma-8"	"Extraction"	""	"sylilation"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2XL)"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	"10 m Integra-Guard (Restek)"	""	""	""	"Victoria Univeristy.Group-1.Subject-056.blood plasma.Extract-1.LE-1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Victoria Univeristy.Subject-07.bloodplasma-8"	"Victoria_University.Subject-07.bloodplasma-8.D.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_VUHIIES1_v2_maf.tsv"
