bucket [0.04 ppm]	JGHw1dc1.MAS_1_1	JGHw1dc2.MAS_1_1	JGHw1dc3.MAS_1_1	JGHw1do1.MAS_1_1	JGHw1do2.MAS_2_1	JGHw1do3.MAS_1_1	JGHw2do1.MAS_1_1	JGHw2do2.MAS_1_1	JGHw2do3.MAS_1_1	JGHw3do1.MAS_1_1	JGHw3do2.MAS_1_1	JGHw3do3.MAS_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1	JGham14o4.txi_1_1	JGHk1dc1.MAS_1_1	JGHk1dc2.MAS_1_1	JGHk1dc3.MAS_1_1	JGHk1do1.MAS_1_1	JGHk1do2.MAS_1_1	JGHk1do3.MAS_1_1	JGHk2do1.MAS_1_1	JGHk2do2.MAS_1_1	JGHk2do3.MAS_1_1	JGHk3do1.MAS_1_1	JGHk3do2.MAS_1_1	JGHk3do3.MAS_1_1
5.74	-0.0388	0.0452	-0.2606	0.7937	0.1081	-0.1066	-0.2469	0.6582	-0.1694	0.7177	0.2215	0.1176	-0.2763	0.8847	0.3713	0.8162	0.9702	1.1306	-0.1113	0.2977	0.5268	0.2367	0.5188	0.2828	0.0618	0.6591	0.4904	0.5109	0.0431	1.2972	0.1277
5.7	-0.0172	0.0571	-0.3063	0.7966	0.1153	-0.1061	-0.2925	0.6919	-0.2095	0.7827	0.2314	0.1357	-0.1505	1.0565	0.8723	1.0888	1.2149	1.4303	0.2113	0.2961	0.5214	0.2413	0.5162	0.3048	0.1132	0.6879	0.4938	0.5184	0.028	1.5621	0.1073
5.66	0.0027	0.1116	-0.3152	0.9302	0.2086	-0.0139	-0.1667	0.8102	-0.2022	0.9175	0.2889	0.1868	0.1163	1.224	0.8173	1.5553	1.5888	1.7756	0.6876	0.3409	0.6011	0.3326	0.6172	0.4665	0.1709	0.8545	0.6607	0.6551	0.0815	1.6605	0.1759
5.62	0.1206	0.2173	-0.2752	1.1172	0.3035	0.0907	-0.0473	0.9162	-0.1782	1.0108	0.3467	0.269	0.3953	1.6777	0.9643	2.7942	2.4909	2.5607	1.6738	0.4281	0.7216	0.4392	0.7258	0.7136	0.2099	0.9587	0.8317	0.8173	0.0838	1.9377	0.2495
5.58	0.2297	0.3339	-0.1795	1.169	0.4815	0.1728	-0.0141	1.1259	-0.1333	1.2191	0.4743	0.4376	0.2004	1.297	0.6605	1.5738	1.5978	1.7508	0.6984	0.5868	0.9287	0.5918	0.8711	0.723	0.3438	1.1539	0.9279	0.9462	0.1375	2.1729	0.4058
5.54	0.4745	0.5824	-0.0339	1.5503	0.7628	0.4824	0.3069	1.4094	0.062	1.4798	0.6701	0.605	0.0722	1.5329	0.73	2.454	2.2219	2.5222	1.6043	0.8288	1.1819	0.8985	1.1638	1.0917	0.5963	1.5241	1.3293	1.3443	0.3238	2.6213	0.6654
5.5	0.6492	0.7638	0.0409	1.7691	0.9674	0.662	0.3211	1.699	0.1161	1.7922	0.8454	0.8209	0.2115	1.7391	1.007	2.0572	2.0138	2.0908	1.325	1.0095	1.4621	1.1832	1.3381	1.4017	0.7789	1.7755	1.5005	1.5765	0.2819	3.1071	0.8269
5.46	1.1891	1.3075	0.3243	2.3365	1.5292	1.1417	0.7407	2.2647	0.2973	2.6625	1.6038	1.5086	0.3927	2.2404	1.2373	2.1913	2.3012	2.0829	1.0732	1.5348	2.1361	1.8375	1.8094	1.8914	1.1087	2.4927	2.03	2.0766	0.2425	3.9388	1.1388
5.42	14.8597	13.3723	12.4757	9.833	14.5632	11.5925	9.7811	11.2309	10.3157	12.9321	17.1035	15.9667	1.3329	4.8397	2.5473	4.1292	4.2728	3.0557	2.3455	11.6282	11.3885	10.0856	12.0917	8.437	11.6117	15.5818	10.4782	10.7333	11.3495	8.2082	10.7914
5.38	13.6321	11.3493	10.0363	9.4024	9.2228	10.5174	6.8127	8.5251	8.5831	8.1265	7.3099	8.645	5.0653	6.7059	7.0051	7.0189	7.6005	6.0255	6.4443	10.7424	10.3308	12.1729	7.0186	7.0718	7.6601	9.2055	7.7639	8.4321	8.1688	8.1113	6.0754
5.34	11.6877	11.2811	12.4304	10.1404	12.5086	11.6966	9.3067	10.8914	9.5818	19.0177	14.9	17.8518	4.0672	2.75	4.1864	5.6999	6.8589	5.7478	6.5205	14.1901	12.3415	12.9475	9.9686	12.0685	11.2588	8.4582	9.1762	8.3388	12.5415	11.0875	8.978
5.3	9.4949	9.6192	9.7625	9.4066	9.0522	10.4498	8.738	8.8771	8.5631	9.7141	7.2343	9.8381	2.7774	2.2197	2.6752	3.5554	4.2351	3.3331	3.8996	11.8023	10.4642	11.2014	8.41	10.8291	9.634	7.5947	8.4764	8.2447	9.7842	10.3841	8.0787
5.26	7.3072	7.4982	7.8281	7.8293	9.0898	8.3519	9.1202	7.8578	8.6721	8.2973	8.6575	8.5465	1.5379	3.7492	3.9277	3.1736	3.9087	4.4835	3.3405	7.3088	8.2541	6.7601	9.4587	8.1297	9.5023	9.4158	8.0326	7.5207	8.6907	9.5609	10.0549
5.22	8.6741	7.8733	6.7012	6.9155	6.1383	6.6867	4.9995	6.1615	5.603	3.7428	3.1855	4.3586	6.4004	5.1349	6.5023	4.2407	5.3159	4.6479	4.8704	6.8412	5.3006	7.8714	4.6088	5.2383	5.3188	5.2571	6.1088	6.8438	5.6711	7.8427	4.3548
5.18	1.4345	1.5555	1.8229	1.8741	1.459	1.6013	1.781	1.872	1.9747	1.212	1.1578	1.4133	1.1707	0.9915	0.5127	0.8573	0.9399	1.2715	-0.0382	1.5968	1.4839	1.4348	1.6584	1.5078	1.7193	1.4758	1.5468	1.6557	1.1161	5.1898	1.6821
5.14	0.8331	0.9218	0.9869	1.269	0.8642	0.8632	0.9641	1.3776	1.1006	1.0044	0.9043	0.9814	-0.0985	0.8778	0.2485	0.8046	0.8191	1.2243	-0.2718	0.9067	0.9259	0.8193	1.1008	0.9126	0.9445	1.0236	1.0142	1.0967	0.241	4.956	0.9066
5.1	0.7686	0.8414	0.8312	1.2459	0.8211	0.7473	0.7615	1.3335	0.9162	1.053	0.842	0.8972	-0.3709	1.0127	0.2907	0.9051	0.977	1.3886	-0.0999	0.8408	0.9638	0.7646	1.0656	0.8763	0.8253	1.0531	0.9808	1.0551	0.2878	5.183	0.8205
5.06	0.6552	0.7592	0.5981	1.2262	0.7038	0.6444	0.5915	1.1873	0.6817	0.9681	0.7056	0.7228	-0.2996	1.2533	0.5101	1.1256	1.168	1.5868	0.1294	0.7934	0.8976	0.7071	0.9884	0.7832	0.6816	1.0216	0.9623	1.0018	0.2451	5.4162	0.7216
5.02	0.535	0.606	0.4396	1.1436	0.6121	0.4777	0.3763	1.0946	0.5174	0.9424	0.6978	0.6021	-0.3066	1.266	0.4384	1.166	1.2697	1.689	0.1406	0.6873	0.8141	0.5694	0.8876	0.6965	0.5138	0.9504	0.8279	0.8657	0.1308	5.8555	0.5697
4.5	0.732	0.8406	0.5787	1.2545	0.8995	0.7766	0.6564	1.2255	0.4924	1.0997	0.7899	0.7381	0.732	0.8406	0.5787	1.2545	0.8995	0.7766	0.6564	0.8617	1.0762	0.979	1.0905	1.1805	0.7726	1.1836	1.1714	1.186	0.3819	2.3808	0.8343
4.46	1.9018	2.1991	1.5816	2.9476	2.2411	2.0182	1.7576	2.884	1.3005	2.6138	1.9081	1.8673	1.9018	2.1991	1.5816	2.9476	2.2411	2.0182	1.7576	2.141	2.7301	2.4979	2.6807	2.9866	2.0136	2.8484	2.8567	2.9014	0.9098	5.3058	2.1053
4.42	2.0655	2.3622	1.6093	3.2066	2.346	2.1822	1.8134	3.032	1.3312	2.6258	1.8111	1.8712	2.0655	2.3622	1.6093	3.2066	2.346	2.1822	1.8134	2.2773	2.7803	2.6362	2.776	3.0507	2.0645	3.0128	3.098	3.1467	0.9461	5.7397	2.1855
4.38	2.1874	2.5156	1.673	4.2326	2.8594	2.7024	3.1879	3.8852	1.866	3.183	2.2907	2.1982	2.1874	2.5156	1.673	4.2326	2.8594	2.7024	3.1879	2.4152	2.9933	2.7296	3.7728	4.0555	2.7973	4.1948	4.6004	4.3939	2.1978	6.8648	3.3031
4.34	3.1635	3.6546	2.7386	5.2492	4.0911	4.1605	3.9914	4.8639	2.96	4.3006	3.291	3.2188	3.1635	3.6546	2.7386	5.2492	4.0911	4.1605	3.9914	3.3829	4.245	3.9274	4.6247	5.4133	3.9785	4.8367	5.1045	5.2848	2.6798	7.2835	4.2219
4.3	4.329	4.6938	3.7776	5.53	4.6116	4.4757	4.2505	5.1236	3.2194	6.5038	5.1793	5.5045	4.329	4.6938	3.7776	5.53	4.6116	4.4757	4.2505	4.8628	5.0961	5.0888	4.9378	5.6394	4.3533	5.0245	5.4102	5.3558	3.7861	7.486	4.2273
4.26	3.8845	4.1056	3.3929	5.2782	4.2576	4.1707	3.8971	4.7674	2.9857	4.1321	2.9184	3.4675	3.8845	4.1056	3.3929	5.2782	4.2576	4.1707	3.8971	4.7174	4.817	4.7953	4.699	5.5761	4.2779	4.8523	5.2364	5.1247	4.0034	7.2524	4.1727
4.22	2.8004	3.0643	2.1426	4.8233	3.6062	3.4695	3.3144	4.485	2.5227	3.5535	2.7663	2.4989	2.8004	3.0643	2.1426	4.8233	3.6062	3.4695	3.3144	2.9112	3.5692	3.371	4.1108	4.5249	3.4085	4.6492	4.9626	5.0549	3.1126	6.5875	3.8472
4.18	3.3338	3.9486	2.7198	4.55	3.4577	3.2825	2.4917	3.7852	1.7687	3.7521	2.6444	2.8708	7.1987	10.0164	9.708	8.8061	8.1814	8.9012	9.3488	3.7529	4.2799	3.957	3.7879	4.3189	3.3768	4.0721	4.0785	4.155	2.0265	6.0013	3.0487
4.14	3.2046	3.4443	2.2962	5.3539	4.2629	3.7395	3.4161	4.906	2.6229	4.7636	3.595	3.08	7.7222	9.2369	9.3683	8.3939	8.381	9.3157	9.3233	3.3326	4.2747	3.868	4.6348	5.0931	4.0622	5.1651	5.2248	5.292	3.5498	7.0565	4.3674
4.1	4.6617	4.8881	3.4364	5.8733	4.8674	4.3277	3.4502	5.2304	2.7965	6.7069	5.4391	5.6597	8.503	10.2136	10.4026	8.8761	9.3532	9.3115	9.9917	5.1785	5.6085	5.6225	4.9335	5.6372	4.231	5.2652	5.3272	5.1695	4.4621	6.743	4.0422
4.06	4.106	4.2705	3.2059	5.5367	4.5654	4.1228	3.1393	5.0111	2.6028	4.806	3.6352	3.668	8.377	9.7838	9.3271	10.2539	9.4292	9.7346	9.6413	4.8686	5.2555	4.9758	4.7448	5.6124	3.9628	5.4268	5.2711	5.1411	4.3335	6.6669	3.8932
4.02	4.8643	4.8873	3.6022	6.4247	5.78	4.8344	4.1115	6.2066	3.4829	6.571	6.5555	5.2593	12.5515	15.7757	14.4596	17.1336	15.0938	16.5498	16.1456	4.8253	6.1411	5.3449	6.1572	6.3646	4.9474	7.4545	6.5736	6.3864	4.2885	7.8094	5.1375
3.98	19.8221	17.8746	13.6162	13.977	16.0748	14.9427	11.1138	13.9339	10.6182	12.5148	14.9907	15.0495	15.647	17.8763	16.5424	19.1802	17.544	17.6676	19.1333	14.4131	14.9545	15.6092	14.1729	12.1789	13.1443	18.4068	14.2771	14.937	13.8181	11.4614	12.0159
3.94	16.2198	14.576	12.0796	13.7791	14.7601	13.7642	10.4718	12.8802	11.7603	13.3199	15.3456	12.0449	15.75	18.5772	17.9863	18.9943	18.4043	19.2566	19.8297	12.9448	13.4359	13.5715	13.3749	12.0296	12.3946	16.2443	13.2891	13.4397	15.2785	13.0495	12.4452
3.9	22.7816	21.8602	20.4993	23.9205	27.2236	24.2061	25.5268	23.1121	26.797	23.6555	27.6468	23.4115	36.6529	43.5394	43.7976	52.3148	47.7264	49.9407	55.8274	21.2182	22.995	19.6265	25.4112	24.3111	24.6427	32.1911	28.5438	27.921	42.718	23.3095	29.5721
3.86	42.8496	37.9646	34.3747	30.2406	37.9069	34.7633	29.497	29.1211	31.6559	27.0252	33.4917	34.4626	32.3497	31.0585	33.0125	26.2824	28.4143	26.7754	30.1103	33.1186	33.0152	32.199	33.2532	25.8466	33.3682	40.0449	30.3647	31.1895	40.243	21.4182	31.3444
3.82	27.2759	23.7746	20.0811	21.464	21.912	22.5501	18.4619	18.077	20.7381	15.1681	20.6307	17.8074	31.8517	24.3991	28.115	21.4147	23.2218	21.8395	24.7048	21.4153	20.1327	21.9387	19.4636	17.2077	20.2089	23.1155	19.8654	21.5789	26.7232	16.8267	18.8058
3.78	27.9332	25.2068	28.7922	21.3106	31.303	25.7955	22.0559	22.2055	27.9143	17.0785	22.6981	21.8537	30.8875	29.3646	29.8977	26.7165	26.4325	26.1321	30.5543	24.8134	23.4324	21.6361	22.739	18.3441	23.6477	27.266	21.7637	22.6894	35.1687	17.8582	23.8321
3.74	23.1397	21.5426	23.0277	20.8526	26.2989	22.2504	21.8755	20.0872	24.347	18.4561	22.61	20.281	29.7632	27.7503	30.9942	22.8942	24.6959	25.3982	28.5817	20.592	20.7854	19.5866	22.4473	18.518	23.2043	24.954	21.2346	21.1549	32.1791	17.3546	24.0649
3.7	22.215	19.8782	20.4616	17.362	20.399	19.0465	16.0837	16.2545	19.2129	12.4196	17.2626	16.1451	28.9724	23.3628	26.2137	18.9263	19.8661	17.6654	21.6628	18.1323	16.693	18.2844	15.8395	13.8976	17.2985	18.819	16.2577	17.1884	21.0897	13.6669	15.5168
3.66	30.2355	25.8957	25.8306	18.2376	25.8233	23.2622	18.5526	19.0035	22.8207	17.0527	27.0339	24.7988	21.5763	19.7835	18.761	17.4788	16.9411	15.8138	18.0438	22.759	21.6926	21.5915	20.0439	14.4011	21.056	25.5279	17.7733	18.9719	23.2184	12.5532	18.717
3.62	22.744	19.6008	21.1008	14.3688	19.922	18.3524	13.4274	13.9989	19.4972	12.8372	19.8754	17.5555	19.5046	19.5439	19.0766	15.3438	15.1985	15.3219	13.2256	18.1114	16.011	16.4257	13.9624	10.4569	15.5682	17.0161	12.5281	13.4024	17.9628	10.0101	13.2892
3.58	18.7059	16.3363	17.4623	11.3285	15.092	14.3247	10.5348	11.3769	15.0687	7.2049	11.8795	10.6217	16.3658	10.8239	12.132	11.007	9.0046	10.9575	7.4882	14.1209	11.9387	13.33	10.6864	8.6162	11.8026	12.5434	10.6072	10.9668	15.2347	8.7783	10.4712
3.54	6.1277	5.9327	7.2746	6.9153	7.3661	6.2762	6.8818	6.3356	8.0825	4.8953	5.691	4.7468	18.0475	15.1672	17.5473	17.9764	18.4826	18.3612	17.6193	6.2415	6.3054	6.1621	7.4298	7.1773	7.5289	6.944	7.3671	7.4562	10.1852	7.9299	8.1916
3.5	7.2248	7.16	8.6531	9.7811	11.6243	8.2729	10.409	9.1332	10.5273	8.1183	8.9321	6.9446	20.8771	17.3751	24.369	15.1564	16.2229	17.7209	16.5188	7.9042	8.8328	7.21	11.5142	10.0679	11.4351	11.2731	10.9275	10.4665	16.4243	9.9947	13.169
3.46	11.2002	10.4084	10.7176	12.0881	12.8413	10.8979	11.739	10.356	12.9855	10.4824	14.3485	10.3766	23.9308	17.6243	20.7821	18.5548	19.9666	18.777	17.4386	10.8896	12.1081	11.2032	14.385	11.5918	13.7974	13.2086	12.8621	12.2982	17.6468	11.5559	14.2368
3.42	17.3485	15.8362	18.1803	17.0427	20.3978	16.3603	16.4981	15.0123	18.2206	9.5142	10.3761	11.6099	24.9715	22.3737	28.7032	20.4023	21.1729	21.2187	22.1423	18.4724	17.7755	17.7748	19.2611	16.2957	20.2124	18.7519	18.1233	17.4611	26.4105	13.6035	19.4823
3.38	3.43	3.3393	3.9758	4.2687	3.2096	3.2889	3.6967	3.4446	4.6412	2.1084	2.3888	2.2636	13.4523	5.4932	6.4396	4.7809	4.6701	4.4064	5.7004	3.6235	2.8638	3.6725	3.4433	3.9081	4.0109	3.1546	4.0108	4.3194	5.718	5.5314	3.9247
3.34	1.7566	1.8605	2.1142	2.4074	1.997	1.7706	1.6412	2.4413	1.8919	2.7735	2.6277	1.9548	5.2082	5.1037	2.853	4.1943	4.5908	5.0122	4.1576	1.94	2.0206	1.8595	2.1823	2.7139	1.9755	2.2734	2.4352	2.4825	2.0972	4.9525	2.0137
3.3	5.9732	5.8147	6.4303	7.4682	8.168	6.3875	7.2669	7.8541	6.8532	22.7129	34.2341	10.9476	4.236	16.0907	6.5881	13.4648	17.0422	19.5862	17.0363	6.2754	7.4706	5.2689	8.7852	8.2487	6.9295	9.5851	8.5269	7.1738	8.1498	14.8833	7.3681
3.26	35.7345	38.6259	34.4095	42.1681	39.867	46.0516	63.7158	41.2	58.7729	33.6304	25.3578	35.0578	60.7729	83.1069	67.3831	119.8901	90.6484	98.36	127.3998	38.2879	40.0598	36.3599	49.0972	56.9491	49.9619	58.5871	64.9058	60.2333	110.7332	49.2571	71.5274
3.22	12.9736	15.1952	14.4994	13.3969	11.7746	13.3826	12.1772	8.6421	14.4083	8.608	7.4344	9.6211	42.9801	27.5801	34.5648	14.9033	13.7027	14.2832	18.6723	14.5789	13.1608	13.508	10.0253	11.9366	14.1518	7.5431	8.9465	10.0446	16.1887	11.5811	10.5849
3.18	2.2355	2.4752	3.5801	2.2235	2.115	2.6877	4.0205	2.1591	5.0752	1.0656	2.7702	2.109	20.8968	7.3266	5.6247	6.0497	3.9202	4.2787	2.5769	2.4529	1.6011	1.8734	2.1986	1.9521	3.055	1.0523	1.7161	1.9587	2.5952	3.8304	2.9962
3.14	1.9096	2.0849	2.9371	1.6538	1.8303	2.018	3.1626	1.9031	3.612	1.2187	2.3256	1.8372	16.7208	2.5748	7.2902	1.3233	1.145	0.8879	-0.8207	1.8771	1.4701	1.6675	1.9512	1.5858	2.322	1.153	1.6254	1.7542	1.5888	2.8376	2.5997
3.1	1.5116	1.7862	2.3745	1.5767	1.5833	1.6915	2.4804	1.7797	2.9101	1.2406	1.9976	1.6239	5.7759	2.0012	1.776	0.5032	1.0485	0.8415	-0.862	1.6867	1.4635	1.5798	1.8078	1.574	2.0319	1.1314	1.5184	1.6637	1.1026	2.4857	2.2199
3.06	2.174	2.3802	2.9387	2.2656	2.5077	2.3212	2.9941	2.4886	3.3525	2.1782	3.9818	2.2063	6.0308	6.9482	5.9951	5.7323	4.3302	4.5511	3.662	2.3602	2.4306	2.449	2.7363	2.6781	2.9325	2.2911	2.5747	2.8041	2.1677	3.2135	3.3331
3.02	3.1897	3.4804	3.938	3.5169	3.6116	3.6145	4.3044	3.6214	4.3104	3.1383	4.3172	3.1013	5.9442	7.2167	5.7024	6.1159	5.9817	5.9454	5.673	3.5978	3.8262	3.7728	4.1496	4.4617	4.3433	3.6007	4.0026	4.3919	4.0632	4.2797	4.6098
2.98	3.2969	3.779	3.6453	3.4774	3.2391	3.4245	4.0867	3.5036	3.9398	2.9234	2.9237	2.8238	6.9059	6.1352	6.075	3.4292	3.953	4.1687	3.4104	3.4383	3.4629	3.5448	3.7902	3.8844	3.5289	2.9888	3.661	3.8525	3.1648	3.7318	3.8215
2.94	3.0256	3.4599	3.219	3.1697	2.8058	3.068	3.5066	3.1494	3.4431	2.4854	2.3666	2.4893	5.0116	3.9607	2.6966	3.3503	3.0777	2.7881	2.2018	3.0741	3.0238	3.2178	3.2086	3.3966	2.9171	2.4727	3.1428	3.3744	2.2609	3.2734	3.1432
2.9	2.1889	2.4931	2.6921	2.5719	2.3088	2.4232	2.8318	2.7211	2.772	2.3537	2.2443	2.2193	3.1126	3.077	1.7946	2.5114	2.0517	1.8028	0.808	2.3572	2.4049	2.5479	2.5056	2.7862	2.4255	2.0875	2.4685	2.5798	1.0647	2.8986	2.5292
2.86	3.4851	3.7754	4.092	3.7881	4.0107	3.8591	4.1712	4.0148	3.613	5.6357	4.797	4.8943	3.5943	2.386	2.7857	2.6415	2.399	1.6024	1.0688	3.7668	3.9378	4.0336	3.7431	4.2224	3.8716	3.2266	3.6052	3.5954	1.8921	3.8409	3.6829
2.82	6.1681	6.4117	6.8275	6.2073	6.8087	7.0127	6.5653	6.3289	5.8403	7.7501	6.5216	7.2932	3.5225	2.194	2.2744	2.4666	2.9237	1.8434	1.2298	7.7187	7.252	7.6383	6.356	7.7335	7.1572	5.5259	6.126	6.0806	4.7645	5.9609	6.3432
2.78	6.9277	7.2454	7.5518	6.8215	7.1141	7.6792	7.0936	6.8469	6.7705	8.861	7.4033	8.4442	2.7032	2.0689	2.2478	1.8591	2.5984	1.7419	1.2419	8.0556	7.3161	7.8522	6.5524	7.8617	7.2202	5.6778	6.387	6.323	4.9348	6.1306	6.5325
2.74	4.6434	4.9001	5.3595	5.0665	4.6659	5.3807	5.145	4.7252	5.2027	4.0724	3.9865	4.3635	1.9517	2.1913	2.0911	1.8712	2.4185	2.0206	1.3054	5.8046	5.2665	5.5786	4.7426	5.786	5.276	3.9756	4.6088	4.7446	3.5698	4.4123	4.8268
2.7	2.4628	2.7291	3.1094	2.9278	2.5937	2.8768	3.2278	2.9602	3.2323	2.293	2.4033	2.379	1.7684	2.0812	2.1086	1.62	1.5636	1.5036	0.7828	2.6676	2.6319	2.7527	2.8256	3.0711	2.8875	2.3788	2.7416	2.9325	0.9585	2.8966	2.9565
2.66	2.1674	2.3587	2.6626	2.5563	2.3626	2.3248	2.7214	2.6612	2.7269	2.1037	2.4218	2.0471	1.5158	2.5908	1.7363	1.8439	1.952	2.1113	1.11	2.4649	2.4286	2.4967	2.6645	2.9323	2.7126	2.3128	2.6596	2.8048	1.3245	2.7443	2.9016
2.62	1.7793	2.0426	2.1701	2.2725	1.9659	1.9844	2.3082	2.3583	2.2746	2.0232	2.073	1.8126	1.9168	2.5412	2.0813	2.2343	2.0219	2.089	0.7061	2.0118	2.0324	2.084	2.2408	2.4197	2.0817	1.896	2.2022	2.2826	0.7251	2.3767	2.204
2.58	2.9571	3.4668	2.9245	3.2409	3.0616	3.0323	3.5658	3.4087	3.1749	3.1803	2.8341	2.6797	1.539	1.9477	1.6643	1.5303	1.6242	1.4877	0.5228	2.9899	3.2042	3.1149	3.5071	3.4043	2.9446	3.0025	3.457	3.5382	2.6127	3.3279	3.2844
2.54	2.7708	3.0851	2.8535	3.1499	2.7652	2.832	3.044	3.1253	2.9189	2.466	2.1804	2.2894	2.2002	4.6366	2.3141	4.674	3.9035	3.6083	4.5545	2.8963	2.9137	3.1808	3.0307	3.4253	2.7127	2.755	3.1003	3.4037	2.1607	3.0119	2.9354
2.5	2.1876	2.494	2.4731	2.8811	2.5058	2.4832	2.9556	3.0685	2.6546	2.7783	2.6436	2.2915	5.3631	5.8085	3.9255	4.6588	4.3221	4.7238	3.2273	2.4132	2.65	2.6166	2.8663	3.1918	2.5144	2.7182	2.9112	2.9452	1.5345	3.0515	2.8409
2.46	3.704	3.9982	3.2838	4.2704	3.7695	3.8629	4.9697	4.6654	4.2557	3.6401	3.254	3.1355	4.5189	3.9799	4.1569	2.5568	3.0492	3.3147	2.1937	3.4741	3.8762	4.0982	4.3863	4.8841	3.7072	4.438	4.8807	4.8744	4.6829	4.4728	4.6809
2.42	3.2511	3.6045	3.4881	4.0145	3.5734	3.6714	4.0599	4.1841	3.7364	3.7445	3.3636	3.1423	7.246	14.6248	9.9007	9.6994	8.7249	9.9491	9.5709	3.4349	3.8749	3.8787	3.8824	4.5513	3.6062	3.7257	4.0706	4.1623	2.0283	4.0062	3.8464
2.38	4.2363	4.5573	4.9094	4.8763	5.0201	4.9189	5.4458	5.4684	4.8621	5.0435	5.1159	4.3043	13.4899	6.0225	11.0198	4.938	4.1996	4.67	3.3892	4.799	5.636	5.0508	5.4213	6.0502	5.3873	5.0336	5.3651	5.6004	4.3193	5.3781	5.6091
2.34	4.8126	4.8809	4.9425	5.1433	4.9679	5.0668	5.0984	5.3607	4.6905	4.8763	4.1222	4.2315	7.5752	7.7441	6.4483	6.1397	5.8421	5.6244	5.5782	5.1792	5.335	5.5509	5.1459	6.0928	5.2711	4.7244	5.2744	5.7253	4.2278	5.2546	5.1702
2.3	4.2576	4.5732	4.4485	5.0092	4.7328	4.7937	4.8864	5.045	4.29	5.4709	4.6359	4.5009	6.6312	5.0813	6.6501	4.1848	4.4067	4.0263	3.6312	4.8091	5.1191	5.0264	5.0566	6.033	4.8792	4.6498	5.0961	5.1217	3.2913	5.0196	4.9753
2.26	7.8648	8.0475	7.757	7.0327	7.7894	7.1431	6.29	7.522	6.7163	13.4717	10.9307	12.7104	4.0676	4.1589	4.1107	4.3095	5.6732	3.8701	4.3498	9.1195	7.9426	8.1788	6.8899	8.0219	6.9564	5.8344	6.5922	6.0748	9.1766	6.4962	6.4935
2.22	5.3429	5.4748	5.3694	5.7584	5.1891	5.4939	5.0163	5.5281	5.1028	5.4874	4.4412	5.0532	3.47	3.8697	3.9599	3.781	4.2982	3.5362	3.8854	7.086	6.294	6.4474	5.5522	6.9288	5.6948	4.8435	5.5768	5.3769	4.8364	5.6826	5.2527
2.18	5.645	6.296	5.3173	6.1313	5.871	5.8911	6.5606	6.3261	5.5864	6.236	5.69	5.2546	2.7028	3.6672	3.1395	2.8135	3.3503	3.1443	2.8465	5.7732	6.3772	6.2585	6.6333	7.3493	5.797	6.1678	6.774	6.8878	5.5994	6.7558	6.5542
2.14	6.6642	7.0169	6.2021	7.1963	6.7915	7.0138	8.0234	7.8136	7.0506	6.1869	5.9133	5.4534	3.4242	6.6728	4.1001	5.6299	5.8613	5.6514	6.9815	6.6634	7.3957	7.6185	7.7749	8.9639	7.1066	7.6642	8.4326	8.6951	8.56	8.1557	8.2542
2.1	6.1703	6.4999	6.3448	7.2442	6.7057	6.8277	7.8329	7.7157	6.3842	8.4492	8.0326	6.9891	5.9787	12.8738	6.4044	13.1861	12.569	12.0849	14.7827	6.672	7.4863	7.4466	7.6675	9.1658	7.2925	7.28	8.0171	8.1403	5.9463	8.3932	7.6594
2.06	13.8559	13.8089	14.6283	12.9463	14.9349	14.487	13.7805	14.9048	13.5943	20.2008	17.1889	19.0172	12.1786	15.064	12.7485	15.2418	14.2572	13.7022	15.8015	15.7558	15.3331	15.6306	14.16	16.3635	14.9686	12.6875	13.7111	13.4621	15.4508	12.7282	14.2132
2.02	12.3251	12.7376	12.7528	11.9339	11.9267	13.1036	12.2621	12.1074	12.2185	12.3589	10.2505	13.2145	13.8784	10.3922	12.1773	10.68	9.8476	9.5082	9.5738	13.7721	12.6957	13.464	11.377	14.0998	12.357	10.1423	11.3837	11.3729	10.8614	10.7065	11.3182
1.98	6.0563	6.3929	6.751	6.7298	6.1756	6.9281	7.2296	6.6804	6.922	5.4711	5.3185	5.6236	11.2289	5.302	8.5095	4.0803	4.4839	4.3049	4.3753	6.3333	6.3699	6.8308	6.477	7.65	6.7783	5.8748	6.5501	6.7829	3.73	6.6027	6.7636
1.94	4.8345	5.1612	5.4749	5.324	5.2991	5.3792	5.7804	5.5537	5.525	4.4761	4.5807	4.5981	6.6436	5.9311	6.5417	6.0391	5.5029	5.8456	5.2335	5.0363	5.3834	5.51	5.5804	6.2927	5.7308	5.2851	5.7645	6.0693	3.0012	5.7572	5.9262
1.9	4.4817	4.6846	4.872	4.9924	4.7678	4.8654	5.255	5.0161	4.9518	4.1462	4.0139	3.9585	6.5141	5.614	5.5569	5.369	5.4571	4.6849	5.2244	4.7333	4.9379	5.2726	5.1377	5.8763	5.3125	4.9325	5.4132	5.7741	2.6272	5.2913	5.5052
1.86	3.9575	4.2917	4.4024	4.4961	4.2941	4.2841	4.7034	4.7422	4.277	4.3198	3.9473	4.0079	4.6319	6.0191	5.4126	5.1779	5.4955	5.2499	5.8572	4.1155	4.4489	4.5247	4.6469	5.3066	4.4558	4.2757	4.7208	4.8241	1.5744	4.5794	4.6127
