"sample.name"	"Sample.Name"	"Protocol.REF_x"	"Parameter.Value.Post.Extraction."	"Parameter.Value.Derivatization."	"Extract.Name"	"Protocol.REF.1"	"Parameter.Value.Chromatography.Instrument."	"Term.Source.REF_x"	"Term.Accession.Number_x"	"Parameter.Value.Column.model."	"Parameter.Value.Column.type."	"Labeled.Extract.Name"	"Label"	"Term.Source.REF.1_x"	"Term.Accession.Number.1_x"	"Protocol.REF.2"	"Parameter.Value.Scan.polarity."	"Parameter.Value.Scan.m.z.range."	"Parameter.Value.Instrument."	"Term.Source.REF.2_x"	"Term.Accession.Number.2_x"	"Parameter.Value.Ion.source."	"Term.Source.REF.3_x"	"Term.Accession.Number.3_x"	"Parameter.Value.Mass.analyzer."	"Term.Source.REF.4"	"Term.Accession.Number.4"	"MS.Assay.Name"	"Raw.Spectral.Data.File"	"Protocol.REF.3"	"Normalization.Name"	"Derived.Spectral.Data.File"	"Protocol.REF.4"	"Data.Transformation.Name"	"Metabolite.Assignment.File"	"Source.Name"	"Characteristics.Organism."	"Term.Source.REF_y"	"Term.Accession.Number_y"	"Characteristics.Organism.part."	"Term.Source.REF.1_y"	"Term.Accession.Number.1_y"	"Protocol.REF_y"	"Factor.Value.Genotype."	"Term.Source.REF.2_y"	"Term.Accession.Number.2_y"	"Factor.Value.Replicate."	"Term.Source.REF.3_y"	"Term.Accession.Number.3_y"
"0307_33"	"Ct-298"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_33"	"0307_33.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ct-298"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ct"	"NA"	"NA"	"2"	"NA"	"NA"
"0307_34"	"Kn-302"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_34"	"0307_34.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Kn-302"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Kn"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_35"	"Ler-306"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_35"	"0307_35.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ler-306"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ler"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_36"	"No-310"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_36"	"0307_36.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"No-310"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"No"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_37"	"Sf-314"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_37"	"0307_37.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Sf-314"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Sf"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_38"	"Can-318"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_38"	"0307_38.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Can-318"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Can"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_39"	"Wu-322"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_39"	"0307_39.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Wu-322"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Wu"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_4"	"Can-316"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_4"	"0307_4.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Can-316"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Can"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_40"	"Bur-326"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_40"	"0307_40.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Bur-326"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Bur"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_41"	"Zu-330"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_41"	"0307_41.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Zu-330"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Zu"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_42"	"Oy-334"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_42"	"0307_42.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Oy-334"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Oy"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_43"	"Rsch-338"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_43"	"0307_43.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Rsch-338"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Rsch"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_44"	"Edi-342"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_44"	"0307_44.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Edi-342"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Edi"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_45"	"Tsu-346"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_45"	"0307_45.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Tsu-346"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Tsu"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_46"	"Hi-350"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_46"	"0307_46.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Hi-350"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Hi"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_47"	"Ws-354"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_47"	"0307_47.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ws-354"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ws"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_48"	"Col-358"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_48"	"0307_48.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Col-358"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Col"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_49"	"Wil-362"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_49"	"0307_49.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Wil-362"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Wil"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_5"	"Wu-320"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_5"	"0307_5.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Wu-320"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Wu"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_50"	"Mt-366"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_50"	"0307_50.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Mt-366"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Mt"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_51"	"Po-370"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_51"	"0307_51.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Po-370"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Po"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_52"	"Ct-299"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_52"	"0307_52.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ct-299"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ct"	"NA"	"NA"	"2"	"NA"	"NA"
"0307_53"	"Kn-303"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_53"	"0307_53.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Kn-303"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Kn"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_54"	"Ler-307"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_54"	"0307_54.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ler-307"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ler"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_55"	"Sf-315"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_55"	"0307_55.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Sf-315"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Sf"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_56"	"Can-319"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_56"	"0307_56.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Can-319"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Can"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_57"	"Wu-323"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"positive"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_57"	"0307_57.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Wu-323"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Wu"	"NA"	"NA"	"3"	"NA"	"NA"
