"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Comment[Exhalion file]"
"20180927_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180927_08_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_08_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__14_00_54.txt"
"20180927_09_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_09_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180927_09_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_09_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__14_06_51.txt"
"20180927_10_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_10_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180927_10_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_10_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__14_20_21.txt"
"20180927_12_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_12_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180927_12_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_12_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__15_00_08.txt"
"20180927_13_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_13_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180927_13_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_13_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__15_40_14.txt"
"20180927_14_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180927_14_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180927_14_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180927_14_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_27__18_35_11.txt"
"20180928_01_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_01_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180928_01_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_01_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__09_20_48.txt"
"20180928_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180928_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_02_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__09_27_44.txt"
"20180928_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180928_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__10_19_47.txt"
"20180928_04_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_04_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180928_04_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_04_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__10_49_23.txt"
"20180928_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180928_05_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_05_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__11_45_17.txt"
"20180928_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180928_06_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_06_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__12_08_57.txt"
"20180928_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20180928_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_07_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__12_51_15.txt"
"20180928_08_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_08_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180928_08_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_08_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__13_29_06.txt"
"20180928_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180928_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_09_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__13_41_40.txt"
"20180928_10_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_10_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"20180928_10_Pos_DOPAEx_04_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_10_Pos_DOPAEx_04_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__15_06_20.txt"
"20180928_11_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_11_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20180928_11_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_11_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__15_33_28.txt"
"20180928_12_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20180928_12_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20180928_12_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20180928_12_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_09_28__16_35_07.txt"
"20181003_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20181003_01_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_01_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__11_37_14.txt"
"20181003_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181003_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__12_03_44.txt"
"20181003_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20181003_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__12_23_23.txt"
"20181003_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181003_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__13_40_45.txt"
"20181003_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20181003_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_05_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__14_50_35.txt"
"20181003_06_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181003_06_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181003_06_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181003_06_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_03__16_54_28.txt"
"20181004_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181004_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20181004_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181004_01_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_04__09_25_42.txt"
"20181004_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181004_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181004_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181004_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_04__10_55_51.txt"
"20181004_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181004_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20181004_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181004_03_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_04__11_13_39.txt"
"20181004_04_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181004_04_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"20181004_04_Pos_DOPAEx_02_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181004_04_Pos_DOPAEx_02_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_04__14_37_13.txt"
"20181004_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181004_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181004_05_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181004_05_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_04__15_23_48.txt"
"20181008_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181008_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181008_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181008_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_08__10_49_11.txt"
"20181008_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181008_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181008_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181008_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_08__13_50_50.txt"
"20181008_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181008_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181008_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181008_04_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_08__15_38_28.txt"
"20181010_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181010_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181010_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181010_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_10__14_54_27.txt"
"20181010_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181010_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181010_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181010_02_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_10__15_59_03.txt"
"20181010_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181010_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181010_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181010_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_10__17_41_13.txt"
"20181012_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181012_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20181012_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181012_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_12__12_17_22.txt"
"20181012_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181012_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181012_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181012_03_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_12__12_43_52.txt"
"20181012_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181012_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20181012_04_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181012_04_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_12__15_03_40.txt"
"20181015_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181015_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"20181015_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181015_01_Pos_DOPAEx_03_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_15__11_40_55.txt"
"20181015_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"100-400"	"Thermo Scientific Q Exactive Plus"	""	""	"secondary electrospray ionization"	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20181015_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"20181015_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.RAW"	"Data transformation"	""	"20181015_02_Pos_DOPAEx_01_SETP_0_7_SESI_4.mzXML"	"Metabolite identification"	""	""	"Exhalion__2018_10_15__12_22_12.txt"
