"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Stable isotope]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stress duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Symbiotic partner]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"45H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"46H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"47H_1"	"13C"	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"48H_1"	"13C "	""	""	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"97H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"98H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"99H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"100H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"101H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"102H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"103H_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"104H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"105H_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"106H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"107H_1"	"12C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"108H_1"	"12C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"109H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"110H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"111H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"112H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"113H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"114H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Control aquarium"	""	""	"6"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"115H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"1"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"116H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"2"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"117H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"3"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"118H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"4"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"119H_1"	"13C"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"5"	""	""
"Host "	"Acropora aspera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/140238"	"endometabolome"	""	""	"Sample collection"	"120H_1"	"13C "	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"coral"	""	""	"Heated aquarium"	""	""	"6"	""	""
