"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Virus]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Collected]"	"Unit"	"Term Source REF"	"Term Accession Number"
"SysVirol_IFT001_1918_d1_292_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_292_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d1_292_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_292_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d1_293_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_293_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d1_293_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_293_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d1_294_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_294_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d1_294_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d1_294_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_280_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_280_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_280_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_280_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_281_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_281_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_281_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_281_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_282_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_282_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d3_282_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d3_282_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_277_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_277_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_277_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_277_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_278_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_278_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_278_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_278_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_279_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_279_lipid_Neg_Gimli_19Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_1918_d8_279_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_1918_d8_279_lipid_Pos_Gimli_11Sep13_13-07-01"	"1918"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_283_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_283_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_283_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_283_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_284_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_284_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_284_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_284_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_285_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_285_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d1_285_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d1_285_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_275_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_275_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_275_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_275_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_276_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_276_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_276_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_276_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_295_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_295_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d3_295_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d3_295_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_286_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_286_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_286_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_286_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_287_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_287_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_287_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_287_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_288_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_288_lipid_Neg_Gimli_19Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_Cal04RG_d8_288_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_Cal04RG_d8_288_lipid_Pos_Gimli_11Sep13_13-07-01"	"Cal04RG"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_289_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_289_lipid_Neg_Gimli_19Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_289_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_289_lipid_Pos_Gimli_11Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_290_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_290_lipid_Neg_Gimli_19Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_290_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_290_lipid_Pos_Gimli_11Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_291_lipid_Neg_Gimli_19Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_291_lipid_Neg_Gimli_19Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFT001_mock_d1_291_lipid_Pos_Gimli_11Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"Sample collection"	"SysVirol_IFT001_mock_d1_291_lipid_Pos_Gimli_11Sep13_13-07-01"	"mock"	""	""	"trachea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001388"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
